Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
RandomSearch,12345,./code/data/zoo,15,7,1.91747,1.61242,0.0828313,100000,479
Greedy,12345,./code/data/zoo,15,7,1.47324,1.4677,0.00150602,1,2
LocalSearch,12345,./code/data/zoo,15,7,1.08249,0.977111,0.0286145,4779,11
RandomSearch,67890,./code/data/zoo,15,7,1.93481,1.56875,0.0993976,100000,508
Greedy,67890,./code/data/zoo,15,7,1.50518,1.49409,0.00301205,1,2
LocalSearch,67890,./code/data/zoo,15,7,1.0655,0.949025,0.0316265,5914,12
RandomSearch,13579,./code/data/zoo,15,7,1.92324,1.40189,0.141566,100000,435
Greedy,13579,./code/data/zoo,15,7,1.5246,1.5246,0.0,1,2
LocalSearch,13579,./code/data/zoo,15,7,1.03543,0.852402,0.0496988,4624,9
RandomSearch,24680,./code/data/zoo,15,7,1.92232,1.584,0.0918675,100000,417
Greedy,24680,./code/data/zoo,15,7,1.4915,1.48596,0.00150602,1,2
LocalSearch,24680,./code/data/zoo,15,7,1.11477,0.904011,0.0572289,8009,13
RandomSearch,98765,./code/data/zoo,15,7,1.94594,1.55216,0.106928,100000,392
Greedy,98765,./code/data/zoo,15,7,1.48775,1.4822,0.00150602,1,2
LocalSearch,98765,./code/data/zoo,15,7,1.1356,1.04686,0.0240964,6041,10
RandomSearch,43210,./code/data/zoo,15,7,1.92841,1.60118,0.0888554,100000,392
Greedy,43210,./code/data/zoo,15,7,1.4902,1.47911,0.00301205,1,2
LocalSearch,43210,./code/data/zoo,15,7,1.11248,0.946096,0.0451807,5482,9
RandomSearch,10293,./code/data/zoo,15,7,1.93368,1.56763,0.0993976,100000,410
Greedy,10293,./code/data/zoo,15,7,1.5402,1.52911,0.00301205,1,2
LocalSearch,10293,./code/data/zoo,15,7,1.1014,0.946101,0.0421687,5798,12
RandomSearch,84756,./code/data/zoo,15,7,1.94422,1.61698,0.0888554,100000,521
Greedy,84756,./code/data/zoo,15,7,1.56444,1.55335,0.00301205,1,2
LocalSearch,84756,./code/data/zoo,15,7,1.0961,1.00181,0.0256024,7073,14
RandomSearch,97531,./code/data/zoo,15,7,1.91356,1.56414,0.0948795,100000,462
Greedy,97531,./code/data/zoo,15,7,1.51146,1.49482,0.00451807,1,2
LocalSearch,97531,./code/data/zoo,15,7,1.14049,0.974099,0.0451807,7628,14
RandomSearch,8642,./code/data/zoo,15,7,1.95425,1.59929,0.0963855,100000,428
