Algorithm,Dataset,Ratio,Fitness_mean,Fitness_std,Distancia_mean,Distancia_std,Incumplimiento_mean,Incumplimiento_std,Evaluaciones_mean,Time_ms_mean,Time_ms_std
AGG-UN,bupa,15,0.1957,0.003,0.1621,0.0049,0.0222,0.0018,100000.0,1383.4,14.1829
AGG-UN,bupa,30,0.217,0.0026,0.1562,0.0042,0.0403,0.0018,100000.0,2182.1,21.5584
AGG-UN,glass,15,0.4191,0.0091,0.2961,0.0099,0.0577,0.0047,100000.0,742.3,61.2845
AGG-UN,glass,30,0.4887,0.0063,0.2855,0.0091,0.0953,0.0039,100000.0,1017.1,27.7587
AGG-UN,zoo,15,1.1273,0.1041,0.967,0.1338,0.0435,0.0099,100000.0,341.2,19.188
AGG-UN,zoo,30,1.2277,0.0478,0.873,0.0747,0.0963,0.0088,100000.0,426.5,3.5355
AGG-SF,bupa,15,0.1964,0.0045,0.1628,0.004,0.0223,0.0016,100000.0,1382.4,33.6789
AGG-SF,bupa,30,0.2196,0.0039,0.1578,0.0052,0.041,0.0016,100000.0,2162.5,12.1861
AGG-SF,glass,15,0.4209,0.0079,0.2958,0.0136,0.0586,0.0031,100000.0,738.4,67.5791
AGG-SF,glass,30,0.4902,0.0125,0.2911,0.0161,0.0934,0.0029,100000.0,1004.7,5.9824
AGG-SF,zoo,15,1.1115,0.0735,0.9512,0.0883,0.0435,0.0086,100000.0,334.2,14.4975
AGG-SF,zoo,30,1.2454,0.0514,0.8841,0.0769,0.0981,0.0087,100000.0,419.5,2.8382
AGE-UN,bupa,15,0.1928,0.0024,0.1604,0.0034,0.0215,0.0019,100000.0,1390.5,4.223
AGE-UN,bupa,30,0.2181,0.0047,0.1575,0.0056,0.0401,0.0015,100000.0,2222.0,101.4747
AGE-UN,glass,15,0.4224,0.0063,0.296,0.0147,0.0593,0.0052,100000.0,761.0,63.9392
AGE-UN,glass,30,0.4899,0.0123,0.2931,0.0176,0.0923,0.0038,100000.0,1026.6,5.1897
AGE-UN,zoo,15,1.0911,0.059,0.9236,0.0842,0.0455,0.0104,100000.0,341.7,14.8328
AGE-UN,zoo,30,1.2409,0.0501,0.8801,0.0825,0.098,0.0121,100000.0,429.3,3.9455
AGE-SF,bupa,15,0.1926,0.0034,0.1583,0.0036,0.0227,0.0014,100000.0,1383.4,7.1988
AGE-SF,bupa,30,0.214,0.0021,0.1536,0.0033,0.04,0.0016,100000.0,2231.3,159.7213
AGE-SF,glass,15,0.4243,0.011,0.3018,0.0158,0.0574,0.0037,100000.0,748.1,48.0543
AGE-SF,glass,30,0.4874,0.0035,0.2874,0.0078,0.0938,0.0032,100000.0,1019.4,6.5524
AGE-SF,zoo,15,1.079,0.0655,0.9154,0.0811,0.0444,0.0082,100000.0,344.9,15.7229
AGE-SF,zoo,30,1.2114,0.0525,0.8349,0.0706,0.1022,0.007,100000.0,428.5,3.7786
AM-All,bupa,15,0.1989,0.0038,0.1689,0.0041,0.0198,0.0016,100000.0,1134.4,14.9458
AM-All,bupa,30,0.2181,0.0044,0.1587,0.0043,0.0393,0.0007,100000.0,1925.1,22.088
AM-All,glass,15,0.4144,0.0104,0.2903,0.0166,0.0582,0.0038,100000.0,612.3,16.4725
AM-All,glass,30,0.4837,0.0114,0.2855,0.0217,0.0929,0.0059,100000.0,890.2,5.1597
AM-All,zoo,15,1.1088,0.0688,0.969,0.1015,0.038,0.0102,100000.0,282.5,14.7817
AM-All,zoo,30,1.2289,0.0625,0.8604,0.08,0.1001,0.0073,100000.0,362.6,4.402
AM-Rand,bupa,15,0.1783,0.0027,0.1496,0.0032,0.019,0.0014,100000.0,1276.6,50.9623
AM-Rand,bupa,30,0.2039,0.0028,0.1467,0.003,0.0379,0.0015,100000.0,2056.2,18.9901
AM-Rand,glass,15,0.4192,0.0049,0.2935,0.0082,0.0589,0.004,100000.0,694.3,9.3814
AM-Rand,glass,30,0.4877,0.0097,0.2888,0.0181,0.0932,0.0048,100000.0,980.3,6.913
AM-Rand,zoo,15,1.1053,0.0664,0.93,0.0886,0.0476,0.0144,100000.0,325.5,15.4722
AM-Rand,zoo,30,1.2732,0.0801,0.9415,0.095,0.0901,0.0068,100000.0,408.0,2.6667
AM-Best,bupa,15,0.1775,0.0029,0.1473,0.0032,0.02,0.0009,100000.0,1260.3,12.2116
AM-Best,bupa,30,0.2013,0.0015,0.1451,0.0024,0.0372,0.0019,100000.0,2057.8,14.3279
AM-Best,glass,15,0.4174,0.005,0.2968,0.0072,0.0566,0.0034,100000.0,699.1,18.0213
AM-Best,glass,30,0.4819,0.0053,0.2804,0.0077,0.0945,0.0022,100000.0,980.8,11.0835
AM-Best,zoo,15,1.1376,0.0656,0.9978,0.0757,0.038,0.0079,100000.0,322.6,13.7937
AM-Best,zoo,30,1.26,0.0649,0.918,0.0969,0.0929,0.0124,100000.0,408.0,3.5901
