Algorithm,Dataset,Ratio,Fitness_mean,Fitness_std,Distancia_mean,Distancia_std,Incumplimiento_mean,Incumplimiento_std,Evaluaciones_mean,Time_ms_mean,Time_ms_std
Greedy,bupa,15,0.24,0.0024,0.239,0.0021,0.0007,0.0004,1.0,264.7,42.4187
Greedy,bupa,30,0.2676,0.0025,0.2476,0.0025,0.0133,0.0005,1.0,551.1,90.7885
Greedy,glass,15,0.488,0.0063,0.4276,0.0039,0.0283,0.0024,1.0,24.5,3.8079
Greedy,glass,30,0.5592,0.0065,0.4259,0.005,0.0625,0.0015,1.0,53.1,12.6618
Greedy,zoo,15,1.5067,0.029,1.4973,0.0293,0.0026,0.0014,1.0,1.8,0.9189
Greedy,zoo,30,1.7169,0.0313,1.5996,0.0251,0.0318,0.003,1.0,4.7,2.9078
Random,bupa,15,0.3284,0.0011,0.2479,0.0015,0.0533,0.0009,100000.0,1337.7,30.3244
Random,bupa,30,0.3335,0.0007,0.2469,0.002,0.0574,0.0013,100000.0,2168.3,21.8787
Random,glass,15,0.6796,0.0035,0.4289,0.0051,0.1176,0.0028,100000.0,692.1,17.0649
Random,glass,30,0.6968,0.0023,0.4214,0.0037,0.1292,0.0018,100000.0,993.0,6.7823
Random,zoo,15,1.9318,0.0133,1.5668,0.062,0.0991,0.0164,100000.0,353.2,47.2624
Random,zoo,30,1.9693,0.0197,1.5049,0.0821,0.1261,0.0213,100000.0,396.1,4.3063
BL,bupa,15,0.1702,0.0023,0.1437,0.0028,0.0175,0.0008,82526.6,765.1,145.8069
BL,bupa,30,0.1982,0.0024,0.1437,0.004,0.0361,0.0014,81769.3,1383.9,272.2219
BL,glass,15,0.4041,0.0063,0.3037,0.0074,0.0471,0.0025,16262.5,71.6,17.2059
BL,glass,30,0.4682,0.0038,0.2862,0.0039,0.0854,0.0028,17931.4,132.1,32.0085
BL,zoo,15,1.0923,0.0368,0.9492,0.0559,0.0389,0.011,6201.6,10.1,1.9692
BL,zoo,30,1.1968,0.0327,0.8713,0.0642,0.0884,0.0106,6201.2,14.5,3.6286
AM-BEST (Mejor P2),bupa,15,0.1775,0.0029,0.1473,0.0032,0.02,0.0009,100000.0,1259.2,6.925
AM-BEST (Mejor P2),bupa,30,0.2013,0.0015,0.1451,0.0024,0.0372,0.0019,100000.0,2075.7,13.7117
AM-BEST (Mejor P2),glass,15,0.4174,0.005,0.2968,0.0072,0.0566,0.0034,100000.0,701.4,19.3689
AM-BEST (Mejor P2),glass,30,0.4819,0.0053,0.2804,0.0077,0.0945,0.0022,100000.0,992.1,3.3813
AM-BEST (Mejor P2),zoo,15,1.1376,0.0656,0.9978,0.0757,0.038,0.0079,100000.0,361.1,41.3345
AM-BEST (Mejor P2),zoo,30,1.26,0.0649,0.918,0.0969,0.0929,0.0124,100000.0,404.5,1.7795
BMB,bupa,15,0.1786,0.0019,0.1488,0.0029,0.0197,0.0016,100000.0,1085.5,8.182
BMB,bupa,30,0.204,0.0008,0.1464,0.0024,0.0382,0.0017,100000.0,1890.2,20.9061
BMB,glass,15,0.396,0.0045,0.296,0.0054,0.0469,0.0016,79148.9,346.4,16.8272
BMB,glass,30,0.462,0.0019,0.2843,0.0042,0.0833,0.0017,84487.6,635.2,45.0797
BMB,zoo,15,1.0338,0.0339,0.8629,0.0555,0.0464,0.0088,29188.5,49.7,9.65
BMB,zoo,30,1.1655,0.0238,0.8181,0.0579,0.0943,0.01,30863.5,74.0,5.9442
ILS-BL,bupa,15,0.1734,0.0023,0.146,0.0029,0.0182,0.0013,100000.0,978.5,4.1966
ILS-BL,bupa,30,0.1986,0.0012,0.1432,0.0028,0.0367,0.0016,100000.0,1759.2,33.2158
ILS-BL,glass,15,0.3897,0.0036,0.293,0.0057,0.0454,0.0022,58905.2,249.9,23.2066
ILS-BL,glass,30,0.4604,0.0021,0.2829,0.0031,0.0832,0.0022,68314.6,497.3,36.4236
ILS-BL,zoo,15,1.0329,0.0382,0.8704,0.0727,0.0441,0.0118,23883.4,38.2,5.8462
ILS-BL,zoo,30,1.1786,0.0227,0.8438,0.0608,0.0909,0.011,21930.6,50.3,7.8038
ES,bupa,15,0.2283,0.0027,0.1755,0.0036,0.035,0.0017,100000.0,1230.4,7.6187
ES,bupa,30,0.251,0.0018,0.1752,0.0047,0.0502,0.0022,100000.0,2467.7,95.6987
ES,glass,15,0.3999,0.0042,0.2925,0.004,0.0504,0.0022,100000.0,494.3,78.5225
ES,glass,30,0.4782,0.0028,0.2872,0.0065,0.0896,0.0024,100000.0,873.9,21.0526
ES,zoo,15,0.9848,0.0189,0.8251,0.0165,0.0434,0.0062,67098.9,102.9,27.3067
ES,zoo,30,1.162,0.0069,0.7847,0.0209,0.1024,0.005,85935.3,197.5,34.7859
ILS-ES,bupa,15,0.2286,0.0027,0.1791,0.0033,0.0328,0.002,100000.0,1229.4,21.5468
ILS-ES,bupa,30,0.2496,0.0031,0.175,0.0046,0.0495,0.0022,100000.0,2426.8,29.1959
ILS-ES,glass,15,0.402,0.0041,0.2918,0.0061,0.0517,0.0028,100000.0,489.0,46.6286
ILS-ES,glass,30,0.4799,0.0032,0.283,0.0056,0.0924,0.0024,100000.0,866.9,3.8427
ILS-ES,zoo,15,0.9701,0.0116,0.7632,0.0519,0.0562,0.0121,89887.9,139.7,15.8538
ILS-ES,zoo,30,1.1462,0.0117,0.7705,0.019,0.102,0.0079,92319.2,212.0,13.35
