funcid,dim,milestone,error
21,30,1,6.711160e+02
21,30,2,6.342525e+02
21,30,3,6.103890e+02
21,30,5,6.103890e+02
21,30,10,6.103890e+02
21,30,20,6.064169e+02
21,30,30,5.373695e+02
21,30,40,5.373695e+02
21,30,50,5.373695e+02
21,30,60,5.212560e+02
21,30,70,5.115762e+02
21,30,80,5.049476e+02
21,30,90,5.049476e+02
21,30,100,5.049476e+02
21,30,1,7.239757e+02
21,30,2,6.908230e+02
21,30,3,6.221484e+02
21,30,5,6.221484e+02
21,30,10,5.573002e+02
21,30,20,5.573002e+02
21,30,30,5.573002e+02
21,30,40,5.549315e+02
21,30,50,5.502284e+02
21,30,60,4.777306e+02
21,30,70,4.777306e+02
21,30,80,4.777306e+02
21,30,90,4.777306e+02
21,30,100,4.777306e+02
21,30,1,7.101137e+02
21,30,2,6.841728e+02
21,30,3,6.584411e+02
21,30,5,6.584411e+02
21,30,10,5.670562e+02
21,30,20,5.670562e+02
21,30,30,5.670562e+02
21,30,40,5.450310e+02
21,30,50,4.727632e+02
21,30,60,4.727632e+02
21,30,70,4.727632e+02
21,30,80,4.727632e+02
21,30,90,4.727632e+02
21,30,100,4.727632e+02
21,30,1,7.244321e+02
21,30,2,6.366185e+02
21,30,3,6.363670e+02
21,30,5,6.363670e+02
21,30,10,6.231162e+02
21,30,20,6.224730e+02
21,30,30,5.810982e+02
21,30,40,5.613017e+02
21,30,50,5.341735e+02
21,30,60,5.142295e+02
21,30,70,4.613175e+02
21,30,80,4.613175e+02
21,30,90,4.613175e+02
21,30,100,4.613175e+02
21,30,1,6.544876e+02
21,30,2,6.247655e+02
21,30,3,6.247655e+02
21,30,5,6.247655e+02
21,30,10,6.247655e+02
21,30,20,5.920897e+02
21,30,30,5.920897e+02
21,30,40,5.824125e+02
21,30,50,5.010015e+02
21,30,60,5.010015e+02
21,30,70,4.853020e+02
21,30,80,4.853020e+02
21,30,90,4.853020e+02
21,30,100,4.853020e+02
21,30,1,6.333790e+02
21,30,2,6.333790e+02
21,30,3,6.333790e+02
21,30,5,6.333790e+02
21,30,10,6.333790e+02
21,30,20,6.333790e+02
21,30,30,5.926992e+02
21,30,40,5.845976e+02
21,30,50,5.601594e+02
21,30,60,5.034552e+02
21,30,70,4.975733e+02
21,30,80,4.757548e+02
21,30,90,4.757548e+02
21,30,100,4.757548e+02
21,30,1,6.879811e+02
21,30,2,6.126976e+02
21,30,3,6.126976e+02
21,30,5,6.126976e+02
21,30,10,6.126976e+02
21,30,20,6.126976e+02
21,30,30,6.014461e+02
21,30,40,5.756620e+02
21,30,50,5.441354e+02
21,30,60,5.053498e+02
21,30,70,5.053498e+02
21,30,80,5.053498e+02
21,30,90,5.053498e+02
21,30,100,5.053498e+02
21,30,1,6.481900e+02
21,30,2,6.008792e+02
21,30,3,6.008792e+02
21,30,5,6.008792e+02
21,30,10,6.008792e+02
21,30,20,6.008792e+02
21,30,30,6.008792e+02
21,30,40,5.648470e+02
21,30,50,5.566989e+02
21,30,60,5.333774e+02
21,30,70,5.333774e+02
21,30,80,5.225218e+02
21,30,90,5.225218e+02
21,30,100,5.056996e+02
21,30,1,7.262671e+02
21,30,2,6.342559e+02
21,30,3,6.342559e+02
21,30,5,6.198884e+02
21,30,10,6.181622e+02
21,30,20,6.069420e+02
21,30,30,5.980648e+02
21,30,40,5.774210e+02
21,30,50,5.507226e+02
21,30,60,5.507226e+02
21,30,70,4.970870e+02
21,30,80,4.970870e+02
21,30,90,4.970870e+02
21,30,100,4.970870e+02
21,30,1,6.434476e+02
21,30,2,6.434476e+02
21,30,3,6.372782e+02
21,30,5,6.331024e+02
21,30,10,6.094772e+02
21,30,20,5.989035e+02
21,30,30,5.989035e+02
21,30,40,5.386090e+02
21,30,50,5.386090e+02
21,30,60,5.386090e+02
21,30,70,5.305968e+02
21,30,80,5.305968e+02
21,30,90,5.305968e+02
21,30,100,5.305968e+02
