funcid,dim,milestone,error
28,10,1,9.222428e+02
28,10,2,6.481373e+02
28,10,3,6.471430e+02
28,10,5,6.471430e+02
28,10,10,6.471430e+02
28,10,20,6.467789e+02
28,10,30,6.461920e+02
28,10,40,6.263577e+02
28,10,50,6.252683e+02
28,10,60,6.154510e+02
28,10,70,6.150246e+02
28,10,80,6.146650e+02
28,10,90,6.145810e+02
28,10,100,6.142577e+02
28,10,1,4.877411e+02
28,10,2,4.525398e+02
28,10,3,4.495217e+02
28,10,5,3.689188e+02
28,10,10,3.000000e+02
28,10,20,3.000000e+02
28,10,30,3.000000e+02
28,10,40,3.000000e+02
28,10,50,3.000000e+02
28,10,60,3.000000e+02
28,10,70,3.000000e+02
28,10,80,3.000000e+02
28,10,90,3.000000e+02
28,10,100,3.000000e+02
28,10,1,6.032104e+02
28,10,2,6.031248e+02
28,10,3,6.031248e+02
28,10,5,6.031248e+02
28,10,10,6.031248e+02
28,10,20,6.011691e+02
28,10,30,5.950011e+02
28,10,40,5.914618e+02
28,10,50,5.897470e+02
28,10,60,5.859839e+02
28,10,70,5.848828e+02
28,10,80,5.844364e+02
28,10,90,5.843763e+02
28,10,100,5.840786e+02
28,10,1,9.522892e+02
28,10,2,9.522481e+02
28,10,3,9.522481e+02
28,10,5,9.522481e+02
28,10,10,9.522481e+02
28,10,20,7.969172e+02
28,10,30,7.964057e+02
28,10,40,7.962744e+02
28,10,50,7.812431e+02
28,10,60,7.764452e+02
28,10,70,7.682395e+02
28,10,80,7.546629e+02
28,10,90,7.417620e+02
28,10,100,7.326330e+02
28,10,1,5.801670e+02
28,10,2,5.565950e+02
28,10,3,4.290744e+02
28,10,5,4.172656e+02
28,10,10,4.158373e+02
28,10,20,4.157310e+02
28,10,30,4.157280e+02
28,10,40,4.157280e+02
28,10,50,4.157280e+02
28,10,60,4.157280e+02
28,10,70,4.157280e+02
28,10,80,4.157280e+02
28,10,90,4.157280e+02
28,10,100,4.157280e+02
28,10,1,4.203959e+02
28,10,2,3.812482e+02
28,10,3,3.700212e+02
28,10,5,3.644325e+02
28,10,10,3.000000e+02
28,10,20,3.000000e+02
28,10,30,3.000000e+02
28,10,40,3.000000e+02
28,10,50,3.000000e+02
28,10,60,3.000000e+02
28,10,70,3.000000e+02
28,10,80,3.000000e+02
28,10,90,3.000000e+02
28,10,100,3.000000e+02
28,10,1,6.072684e+02
28,10,2,6.070383e+02
28,10,3,6.070383e+02
28,10,5,6.070383e+02
28,10,10,6.070383e+02
28,10,20,6.003024e+02
28,10,30,5.991455e+02
28,10,40,5.865758e+02
28,10,50,5.843868e+02
28,10,60,5.838965e+02
28,10,70,5.838475e+02
28,10,80,5.838322e+02
28,10,90,5.838008e+02
28,10,100,5.837712e+02
28,10,1,5.862181e+02
28,10,2,5.851731e+02
28,10,3,5.851731e+02
28,10,5,5.851731e+02
28,10,10,5.851731e+02
28,10,20,5.846115e+02
28,10,30,5.842534e+02
28,10,40,5.842006e+02
28,10,50,5.839767e+02
28,10,60,5.839215e+02
28,10,70,5.838477e+02
28,10,80,5.838335e+02
28,10,90,5.838170e+02
28,10,100,5.837999e+02
28,10,1,6.213875e+02
28,10,2,6.210144e+02
28,10,3,6.210144e+02
28,10,5,6.210144e+02
28,10,10,6.210144e+02
28,10,20,6.206654e+02
28,10,30,6.203528e+02
28,10,40,6.202687e+02
28,10,50,6.198398e+02
28,10,60,6.196412e+02
28,10,70,6.186862e+02
28,10,80,6.168287e+02
28,10,90,6.148907e+02
28,10,100,6.141524e+02
28,10,1,5.399560e+02
28,10,2,4.170967e+02
28,10,3,4.167588e+02
28,10,5,4.160209e+02
28,10,10,4.157536e+02
28,10,20,4.157284e+02
28,10,30,4.157280e+02
28,10,40,4.157280e+02
28,10,50,4.157280e+02
28,10,60,4.157280e+02
28,10,70,4.157280e+02
28,10,80,4.157280e+02
28,10,90,4.157280e+02
28,10,100,4.157280e+02
28,10,1,9.222428e+02
28,10,2,6.481373e+02
28,10,3,6.471430e+02
28,10,5,6.471430e+02
28,10,10,6.471430e+02
28,10,20,6.467789e+02
28,10,30,6.461920e+02
28,10,40,6.263577e+02
28,10,50,6.252683e+02
28,10,60,6.154510e+02
28,10,70,6.150246e+02
28,10,80,6.146650e+02
28,10,90,6.145810e+02
28,10,100,6.142577e+02
28,10,1,4.877411e+02
28,10,2,4.525398e+02
28,10,3,4.495217e+02
28,10,5,3.689188e+02
28,10,10,3.000000e+02
28,10,20,3.000000e+02
28,10,30,3.000000e+02
28,10,40,3.000000e+02
28,10,50,3.000000e+02
28,10,60,3.000000e+02
28,10,70,3.000000e+02
28,10,80,3.000000e+02
28,10,90,3.000000e+02
28,10,100,3.000000e+02
28,10,1,6.032104e+02
28,10,2,6.031248e+02
28,10,3,6.031248e+02
28,10,5,6.031248e+02
28,10,10,6.031248e+02
28,10,20,6.011691e+02
28,10,30,5.950011e+02
28,10,40,5.914618e+02
28,10,50,5.897470e+02
28,10,60,5.859839e+02
28,10,70,5.848828e+02
28,10,80,5.844364e+02
28,10,90,5.843763e+02
28,10,100,5.840786e+02
28,10,1,9.522892e+02
28,10,2,9.522481e+02
28,10,3,9.522481e+02
28,10,5,9.522481e+02
28,10,10,9.522481e+02
28,10,20,7.969172e+02
28,10,30,7.964057e+02
28,10,40,7.962744e+02
28,10,50,7.812431e+02
28,10,60,7.764452e+02
28,10,70,7.682395e+02
28,10,80,7.546629e+02
28,10,90,7.417620e+02
28,10,100,7.326330e+02
28,10,1,5.801670e+02
28,10,2,5.565950e+02
28,10,3,4.290744e+02
28,10,5,4.172656e+02
28,10,10,4.158373e+02
28,10,20,4.157310e+02
28,10,30,4.157280e+02
28,10,40,4.157280e+02
28,10,50,4.157280e+02
28,10,60,4.157280e+02
28,10,70,4.157280e+02
28,10,80,4.157280e+02
28,10,90,4.157280e+02
28,10,100,4.157280e+02
28,10,1,4.203959e+02
28,10,2,3.812482e+02
28,10,3,3.700212e+02
28,10,5,3.644325e+02
28,10,10,3.000000e+02
28,10,20,3.000000e+02
28,10,30,3.000000e+02
28,10,40,3.000000e+02
28,10,50,3.000000e+02
28,10,60,3.000000e+02
28,10,70,3.000000e+02
28,10,80,3.000000e+02
28,10,90,3.000000e+02
28,10,100,3.000000e+02
28,10,1,6.072684e+02
28,10,2,6.070383e+02
28,10,3,6.070383e+02
28,10,5,6.070383e+02
28,10,10,6.070383e+02
28,10,20,6.003024e+02
28,10,30,5.991455e+02
28,10,40,5.865758e+02
28,10,50,5.843868e+02
28,10,60,5.838965e+02
28,10,70,5.838475e+02
28,10,80,5.838322e+02
28,10,90,5.838008e+02
28,10,100,5.837712e+02
28,10,1,5.862181e+02
28,10,2,5.851731e+02
28,10,3,5.851731e+02
28,10,5,5.851731e+02
28,10,10,5.851731e+02
28,10,20,5.846115e+02
28,10,30,5.842534e+02
28,10,40,5.842006e+02
28,10,50,5.839767e+02
28,10,60,5.839215e+02
28,10,70,5.838477e+02
28,10,80,5.838335e+02
28,10,90,5.838170e+02
28,10,100,5.837999e+02
28,10,1,6.213875e+02
28,10,2,6.210144e+02
28,10,3,6.210144e+02
28,10,5,6.210144e+02
28,10,10,6.210144e+02
28,10,20,6.206654e+02
28,10,30,6.203528e+02
28,10,40,6.202687e+02
28,10,50,6.198398e+02
28,10,60,6.196412e+02
28,10,70,6.186862e+02
28,10,80,6.168287e+02
28,10,90,6.148907e+02
28,10,100,6.141524e+02
28,10,1,5.399560e+02
28,10,2,4.170967e+02
28,10,3,4.167588e+02
28,10,5,4.160209e+02
28,10,10,4.157536e+02
28,10,20,4.157284e+02
28,10,30,4.157280e+02
28,10,40,4.157280e+02
28,10,50,4.157280e+02
28,10,60,4.157280e+02
28,10,70,4.157280e+02
28,10,80,4.157280e+02
28,10,90,4.157280e+02
28,10,100,4.157280e+02
