funcid,dim,milestone,error
10,30,1,8.408149e+03
10,30,2,8.197639e+03
10,30,3,8.197639e+03
10,30,5,7.821531e+03
10,30,10,7.821531e+03
10,30,20,7.402841e+03
10,30,30,7.181354e+03
10,30,40,7.181354e+03
10,30,50,7.181354e+03
10,30,60,7.085546e+03
10,30,70,6.912680e+03
10,30,80,6.912680e+03
10,30,90,6.912680e+03
10,30,100,6.912680e+03
10,30,1,8.685548e+03
10,30,2,8.685548e+03
10,30,3,8.228059e+03
10,30,5,8.228059e+03
10,30,10,7.893453e+03
10,30,20,7.681165e+03
10,30,30,7.374148e+03
10,30,40,7.374148e+03
10,30,50,7.374148e+03
10,30,60,7.374148e+03
10,30,70,7.374148e+03
10,30,80,7.374148e+03
10,30,90,7.374148e+03
10,30,100,6.688042e+03
10,30,1,8.252440e+03
10,30,2,7.846846e+03
10,30,3,7.846846e+03
10,30,5,7.469781e+03
10,30,10,7.469781e+03
10,30,20,7.469781e+03
10,30,30,7.469781e+03
10,30,40,7.469781e+03
10,30,50,7.469781e+03
10,30,60,7.469781e+03
10,30,70,7.469781e+03
10,30,80,7.469781e+03
10,30,90,7.458157e+03
10,30,100,7.458157e+03
10,30,1,8.723673e+03
10,30,2,8.133142e+03
10,30,3,8.133142e+03
10,30,5,7.478540e+03
10,30,10,7.478540e+03
10,30,20,7.284575e+03
10,30,30,7.284575e+03
10,30,40,7.284575e+03
10,30,50,7.284575e+03
10,30,60,7.284575e+03
10,30,70,7.284575e+03
10,30,80,7.284575e+03
10,30,90,7.284575e+03
10,30,100,7.055689e+03
10,30,1,8.733992e+03
10,30,2,7.792909e+03
10,30,3,7.792909e+03
10,30,5,7.792909e+03
10,30,10,7.792909e+03
10,30,20,7.792909e+03
10,30,30,7.792909e+03
10,30,40,7.739576e+03
10,30,50,7.739576e+03
10,30,60,7.739576e+03
10,30,70,7.208043e+03
10,30,80,7.208043e+03
10,30,90,7.208043e+03
10,30,100,7.208043e+03
10,30,1,8.223341e+03
10,30,2,8.223341e+03
10,30,3,8.223341e+03
10,30,5,7.924636e+03
10,30,10,7.924636e+03
10,30,20,7.680939e+03
10,30,30,7.567663e+03
10,30,40,7.567663e+03
10,30,50,7.567663e+03
10,30,60,7.567663e+03
10,30,70,7.416121e+03
10,30,80,7.130785e+03
10,30,90,7.130785e+03
10,30,100,7.130785e+03
10,30,1,7.697730e+03
10,30,2,7.697730e+03
10,30,3,7.697730e+03
10,30,5,7.697730e+03
10,30,10,7.697730e+03
10,30,20,7.535925e+03
10,30,30,7.535925e+03
10,30,40,7.535925e+03
10,30,50,7.249499e+03
10,30,60,7.249499e+03
10,30,70,7.249499e+03
10,30,80,7.249499e+03
10,30,90,6.920321e+03
10,30,100,6.920321e+03
10,30,1,8.272450e+03
10,30,2,8.272450e+03
10,30,3,8.272450e+03
10,30,5,8.272450e+03
