funcid,dim,milestone,error
28,10,1,9.222428e+02
28,10,2,7.025250e+02
28,10,3,7.025250e+02
28,10,5,6.928553e+02
28,10,10,6.751674e+02
28,10,20,6.404669e+02
28,10,30,6.404669e+02
28,10,40,6.404669e+02
28,10,50,6.404669e+02
28,10,60,6.404669e+02
28,10,70,6.404669e+02
28,10,80,6.404669e+02
28,10,90,6.404669e+02
28,10,100,6.404669e+02
28,10,1,8.108161e+02
28,10,2,6.039039e+02
28,10,3,6.039039e+02
28,10,5,5.529609e+02
28,10,10,5.529609e+02
28,10,20,5.529609e+02
28,10,30,5.529609e+02
28,10,40,5.529609e+02
28,10,50,4.677470e+02
28,10,60,4.520710e+02
28,10,70,4.489794e+02
28,10,80,4.489794e+02
28,10,90,4.489794e+02
28,10,100,4.489794e+02
28,10,1,7.032900e+02
28,10,2,7.032900e+02
28,10,3,6.889831e+02
28,10,5,6.089306e+02
28,10,10,5.497299e+02
28,10,20,4.877110e+02
28,10,30,4.653151e+02
28,10,40,4.653151e+02
28,10,50,4.653151e+02
28,10,60,4.653151e+02
28,10,70,4.629149e+02
28,10,80,4.238481e+02
28,10,90,4.238481e+02
28,10,100,4.238481e+02
28,10,1,1.027134e+03
28,10,2,9.444110e+02
28,10,3,7.767467e+02
28,10,5,7.081440e+02
28,10,10,6.496703e+02
28,10,20,4.585418e+02
28,10,30,4.585418e+02
28,10,40,4.561670e+02
28,10,50,4.536752e+02
28,10,60,4.536752e+02
28,10,70,4.471276e+02
28,10,80,4.314501e+02
28,10,90,4.314501e+02
28,10,100,4.314501e+02
28,10,1,5.994602e+02
28,10,2,5.354131e+02
28,10,3,5.354131e+02
28,10,5,5.131331e+02
28,10,10,5.131331e+02
28,10,20,4.855334e+02
28,10,30,4.785948e+02
28,10,40,4.716820e+02
28,10,50,4.716820e+02
28,10,60,4.716820e+02
28,10,70,4.538039e+02
28,10,80,4.538039e+02
28,10,90,3.995996e+02
28,10,100,3.995996e+02
28,10,1,6.473046e+02
28,10,2,5.889193e+02
28,10,3,5.889193e+02
28,10,5,5.348212e+02
28,10,10,5.254678e+02
28,10,20,4.949243e+02
28,10,30,4.949243e+02
28,10,40,4.693488e+02
28,10,50,4.693488e+02
28,10,60,4.693488e+02
28,10,70,4.680831e+02
28,10,80,4.668218e+02
28,10,90,4.668218e+02
28,10,100,4.668218e+02
28,10,1,6.971891e+02
28,10,2,6.122019e+02
28,10,3,5.589473e+02
28,10,5,5.589473e+02
28,10,10,4.919726e+02
28,10,20,4.747836e+02
28,10,30,4.747836e+02
28,10,40,4.575367e+02
28,10,50,4.575367e+02
28,10,60,4.544993e+02
28,10,70,4.459443e+02
28,10,80,4.405101e+02
28,10,90,4.405101e+02
28,10,100,4.405101e+02
28,10,1,6.807683e+02
28,10,2,5.386227e+02
28,10,3,5.386227e+02
28,10,5,5.380717e+02
28,10,10,4.874895e+02
28,10,20,4.874895e+02
28,10,30,4.725636e+02
28,10,40,4.509917e+02
28,10,50,4.509917e+02
28,10,60,4.502255e+02
28,10,70,4.502255e+02
28,10,80,4.426841e+02
28,10,90,4.426841e+02
28,10,100,4.426841e+02
28,10,1,6.840857e+02
28,10,2,6.840857e+02
28,10,3,6.448405e+02
28,10,5,6.448405e+02
28,10,10,6.448405e+02
28,10,20,6.144084e+02
28,10,30,6.144084e+02
28,10,40,6.144084e+02
28,10,50,6.144084e+02
28,10,60,6.144084e+02
28,10,70,6.144084e+02
28,10,80,6.144084e+02
28,10,90,6.144084e+02
28,10,100,6.144084e+02
28,10,1,7.774974e+02
28,10,2,7.774974e+02
28,10,3,6.485003e+02
28,10,5,5.850711e+02
28,10,10,4.861604e+02
28,10,20,4.853872e+02
28,10,30,4.578254e+02
28,10,40,4.578254e+02
28,10,50,4.578254e+02
28,10,60,4.578254e+02
28,10,70,4.394621e+02
28,10,80,4.348104e+02
28,10,90,4.254385e+02
28,10,100,4.254385e+02
28,10,1,9.222428e+02
28,10,2,7.025250e+02
28,10,3,7.025250e+02
28,10,5,6.928553e+02
28,10,10,6.751674e+02
28,10,20,6.404669e+02
28,10,30,6.404669e+02
28,10,40,6.404669e+02
28,10,50,6.404669e+02
28,10,60,6.404669e+02
28,10,70,6.404669e+02
28,10,80,6.404669e+02
28,10,90,6.404669e+02
28,10,100,6.404669e+02
28,10,1,8.108161e+02
28,10,2,6.039039e+02
28,10,3,6.039039e+02
28,10,5,5.529609e+02
28,10,10,5.529609e+02
28,10,20,5.529609e+02
28,10,30,5.529609e+02
28,10,40,5.529609e+02
28,10,50,4.677470e+02
28,10,60,4.520710e+02
28,10,70,4.489794e+02
28,10,80,4.489794e+02
28,10,90,4.489794e+02
28,10,100,4.489794e+02
28,10,1,7.032900e+02
28,10,2,7.032900e+02
28,10,3,6.889831e+02
28,10,5,6.089306e+02
28,10,10,5.497299e+02
28,10,20,4.877110e+02
28,10,30,4.653151e+02
28,10,40,4.653151e+02
28,10,50,4.653151e+02
28,10,60,4.653151e+02
28,10,70,4.629149e+02
28,10,80,4.238481e+02
28,10,90,4.238481e+02
28,10,100,4.238481e+02
28,10,1,1.027134e+03
28,10,2,9.444110e+02
28,10,3,7.767467e+02
28,10,5,7.081440e+02
28,10,10,6.496703e+02
28,10,20,4.585418e+02
28,10,30,4.585418e+02
28,10,40,4.561670e+02
28,10,50,4.536752e+02
28,10,60,4.536752e+02
28,10,70,4.471276e+02
28,10,80,4.314501e+02
28,10,90,4.314501e+02
28,10,100,4.314501e+02
28,10,1,5.994602e+02
28,10,2,5.354131e+02
28,10,3,5.354131e+02
28,10,5,5.131331e+02
28,10,10,5.131331e+02
28,10,20,4.855334e+02
28,10,30,4.785948e+02
28,10,40,4.716820e+02
28,10,50,4.716820e+02
28,10,60,4.716820e+02
28,10,70,4.538039e+02
28,10,80,4.538039e+02
28,10,90,3.995996e+02
28,10,100,3.995996e+02
28,10,1,6.473046e+02
28,10,2,5.889193e+02
28,10,3,5.889193e+02
28,10,5,5.348212e+02
28,10,10,5.254678e+02
28,10,20,4.949243e+02
28,10,30,4.949243e+02
28,10,40,4.693488e+02
28,10,50,4.693488e+02
28,10,60,4.693488e+02
28,10,70,4.680831e+02
28,10,80,4.668218e+02
