funcid,dim,milestone,error
14,30,1,1.252555e+06
14,30,2,4.290929e+05
14,30,3,2.100272e+05
14,30,5,1.380944e+05
14,30,10,8.186169e+04
14,30,20,2.864922e+04
14,30,30,1.107447e+04
14,30,40,4.690372e+03
14,30,50,2.151427e+03
14,30,60,1.116884e+03
14,30,70,7.308955e+02
14,30,80,6.540504e+02
14,30,90,6.540461e+02
14,30,100,6.415658e+02
14,30,1,5.564660e+05
14,30,2,2.335448e+05
14,30,3,1.298812e+05
14,30,5,5.287689e+04
14,30,10,2.315857e+04
14,30,20,1.043761e+04
14,30,30,5.489461e+03
14,30,40,3.437951e+03
14,30,50,2.607647e+03
14,30,60,2.524897e+03
14,30,70,2.441357e+03
14,30,80,2.383711e+03
14,30,90,2.379582e+03
14,30,100,2.363723e+03
14,30,1,2.154254e+06
14,30,2,4.352632e+05
14,30,3,8.457873e+04
14,30,5,1.137353e+04
14,30,10,3.780356e+03
14,30,20,1.632797e+03
14,30,30,8.295564e+02
14,30,40,5.672505e+02
14,30,50,4.383659e+02
14,30,60,4.374332e+02
14,30,70,4.369421e+02
14,30,80,4.200827e+02
14,30,90,3.822039e+02
14,30,100,3.502801e+02
14,30,1,4.532966e+06
14,30,2,1.063119e+06
14,30,3,2.513326e+05
14,30,5,7.411279e+04
14,30,10,4.238211e+04
14,30,20,1.992614e+04
14,30,30,1.167013e+04
14,30,40,8.067364e+03
14,30,50,6.598226e+03
14,30,60,6.437760e+03
14,30,70,6.183470e+03
14,30,80,6.132494e+03
14,30,90,6.125869e+03
14,30,100,6.016115e+03
14,30,1,2.404626e+05
14,30,2,1.118184e+05
14,30,3,8.476621e+04
14,30,5,6.764018e+04
14,30,10,4.947907e+04
14,30,20,3.182256e+04
14,30,30,2.421042e+04
14,30,40,2.159016e+04
14,30,50,1.947585e+04
14,30,60,1.771167e+04
14,30,70,1.625852e+04
14,30,80,1.572313e+04
14,30,90,1.562092e+04
14,30,100,1.561373e+04
14,30,1,2.878811e+06
14,30,2,5.922816e+05
14,30,3,2.412724e+05
14,30,5,1.217044e+05
14,30,10,7.211531e+04
14,30,20,2.973399e+04
14,30,30,1.321751e+04
14,30,40,6.712744e+03
14,30,50,4.223088e+03
14,30,60,3.354267e+03
14,30,70,3.093003e+03
14,30,80,2.856545e+03
14,30,90,2.832185e+03
14,30,100,2.808680e+03
14,30,1,2.388320e+05
14,30,2,1.559726e+05
14,30,3,1.269080e+05
14,30,5,1.022144e+05
14,30,10,6.286217e+04
14,30,20,2.601942e+04
14,30,30,1.155914e+04
14,30,40,5.626043e+03
14,30,50,3.464103e+03
14,30,60,2.966445e+03
14,30,70,2.452039e+03
14,30,80,2.449777e+03
14,30,90,2.449777e+03
14,30,100,2.441819e+03
14,30,1,2.334281e+06
14,30,2,4.892834e+05
14,30,3,1.195895e+05
14,30,5,1.679722e+04
14,30,10,8.954545e+03
14,30,20,8.190552e+03
14,30,30,7.924300e+03
14,30,40,7.889068e+03
14,30,50,7.865202e+03
14,30,60,7.812655e+03
14,30,70,7.811674e+03
14,30,80,7.807693e+03
14,30,90,7.783195e+03
14,30,100,7.764216e+03
14,30,1,9.337202e+05
14,30,2,2.117744e+05
14,30,3,5.647989e+04
14,30,5,1.630354e+04
14,30,10,1.202883e+04
14,30,20,9.467307e+03
14,30,30,8.300006e+03
14,30,40,8.026242e+03
14,30,50,7.969432e+03
14,30,60,7.744284e+03
14,30,70,7.723590e+03
14,30,80,7.711837e+03
14,30,90,7.654154e+03
14,30,100,7.647583e+03
14,30,1,4.215451e+05
14,30,2,2.494086e+05
14,30,3,1.421529e+05
14,30,5,6.100257e+04
14,30,10,2.078207e+04
14,30,20,1.680828e+04
14,30,30,1.621006e+04
14,30,40,1.539420e+04
14,30,50,1.527541e+04
14,30,60,1.516908e+04
14,30,70,1.490910e+04
14,30,80,1.482370e+04
14,30,90,1.470797e+04
14,30,100,1.426619e+04
14,30,1,1.252555e+06
14,30,2,4.290929e+05
14,30,3,2.100272e+05
14,30,5,1.380944e+05
14,30,10,8.186169e+04
14,30,20,2.864922e+04
14,30,30,1.107447e+04
14,30,40,4.690372e+03
14,30,50,2.151427e+03
14,30,60,1.116884e+03
14,30,70,7.308955e+02
14,30,80,6.540504e+02
14,30,90,6.540461e+02
14,30,100,6.415658e+02
14,30,1,5.564660e+05
14,30,2,2.335448e+05
14,30,3,1.298812e+05
14,30,5,5.287689e+04
14,30,10,2.315857e+04
14,30,20,1.043761e+04
14,30,30,5.489461e+03
14,30,40,3.437951e+03
14,30,50,2.607647e+03
14,30,60,2.524897e+03
14,30,70,2.441357e+03
14,30,80,2.383711e+03
14,30,90,2.379582e+03
14,30,100,2.363723e+03
14,30,1,2.154254e+06
14,30,2,4.352632e+05
14,30,3,8.457873e+04
14,30,5,1.137353e+04
14,30,10,3.780356e+03
14,30,20,1.632797e+03
14,30,30,8.295564e+02
14,30,40,5.672505e+02
14,30,50,4.383659e+02
14,30,60,4.374332e+02
14,30,70,4.369421e+02
14,30,80,4.200827e+02
14,30,90,3.822039e+02
14,30,100,3.502801e+02
