generacion,empieza,distancia,max_comer,min_comer,ficha_casa,casilla_segura,recta_final,casilla_final,rebote,barrera,resultado,timestamp
1,11,17.715,15.0,5.0,-32.43,34.67,25.42,43.86,-15.55,22.56,Derrota,2025-06-07T17:21:45.139611
1,12,17.715,15.0,5.0,-32.43,34.67,25.42,43.86,-15.55,22.56,Victoria,2025-06-07T17:23:11.733448
2,11,10.5,15.0,5.0,-32.43,29.835,27.71,46.93,-12.775,26.3,Victoria,2025-06-07T17:24:47.924851
2,12,10.5,15.0,5.0,-32.43,29.835,27.71,46.93,-12.775,26.3,Derrota,2025-06-07T17:26:33.228042
1,11,4.68,15.0,5.0,-32.43,27.17,27.71,37.74,-12.775,23.79,Victoria,2025-06-07T17:28:54.957170
1,12,4.68,15.0,5.0,-32.43,27.17,27.71,37.74,-12.775,23.79,Derrota,2025-06-07T17:30:32.256804
2,11,18.15,15.0,5.0,-32.69,38.08,27.71,42.335,-12.775,26.7,Derrota,2025-06-07T17:32:10.674648
2,12,18.15,15.0,5.0,-32.69,38.08,27.71,42.335,-12.775,26.7,Victoria,2025-06-07T17:33:48.290916
3,11,13.771875,15.0,3.31,-32.56,33.29125,27.71,42.335,-4.42,25.244999999999997,Derrota,2025-06-07T17:35:15.842636
3,12,13.771875,15.0,3.31,-32.56,33.29125,27.71,42.335,-4.42,25.244999999999997,Victoria,2025-06-07T17:36:42.562680
4,11,7.35,15.0,4.155,-32.56,33.29125,27.71,38.52,-8.5975,25.244999999999997,Derrota,2025-06-07T17:38:12.800234
4,12,7.35,15.0,4.155,-32.56,33.29125,27.71,38.52,-8.5975,25.244999999999997,Victoria,2025-06-07T17:39:40.993521
5,11,10.5609375,15.0,7.68,-32.56,33.29125,35.89,40.4275,-7.19,25.244999999999997,Derrota,2025-06-07T17:41:31.856362
5,12,10.5609375,15.0,7.68,-32.56,33.29125,35.89,40.4275,-7.19,25.244999999999997,Victoria,2025-06-07T17:43:22.242624
6,11,10.5609375,22.67,5.9175,-35.87,33.17,29.06,38.53,-7.893750000000001,25.244999999999997,Derrota,2025-06-07T17:45:00.003216
6,12,10.5609375,22.67,5.9175,-35.87,33.17,29.06,38.53,-7.893750000000001,25.244999999999997,Victoria,2025-06-07T17:46:37.138569
7,11,15.24,21.51,5.9175,-34.215,37.71,30.43,39.478750000000005,-7.02,32.4,Derrota,2025-06-07T17:48:34.236046
7,12,15.24,21.51,5.9175,-34.215,37.71,30.43,39.478750000000005,-7.02,32.4,Victoria,2025-06-07T17:50:31.462743
8,11,12.90046875,20.1725,5.9175,-34.215,35.470312500000006,30.43,39.478750000000005,-7.456875,38.46,Derrota,2025-06-07T17:52:12.900926
8,12,12.90046875,20.1725,5.9175,-34.215,35.470312500000006,30.43,39.478750000000005,-7.456875,38.46,Victoria,2025-06-07T17:53:54.539746
9,11,3.4,15.96,6.67,-34.215,35.470312500000006,30.43,39.478750000000005,-7.456875,30.37,Derrota,2025-06-07T17:55:35.074334
9,12,3.4,15.96,6.67,-34.215,35.470312500000006,30.43,39.478750000000005,-7.456875,30.37,Victoria,2025-06-07T17:57:14.949579
10,11,8.150234375,16.77,6.29375,-34.215,35.470312500000006,21.26,39.478750000000005,-9.05,32.005625,Derrota,2025-06-07T17:58:31.364284
10,12,8.150234375,16.77,6.29375,-34.215,35.470312500000006,21.26,39.478750000000005,-9.05,32.005625,Victoria,2025-06-07T17:59:49.640809
11,11,8.150234375,15.72,6.29375,-34.215,42.28,27.71,41.78,-8.2534375,32.005625,Derrota,2025-06-07T18:01:21.278651
1,11,2.86,35.0,0,-0.22,25.0,30.0,55.55,-10.0,25.0,Derrota,2025-06-07T18:03:52.443583
1,11,15.0,35.21,20.0,-25.0,48.7,30.0,50.0,-10.0,25.0,Derrota,2025-06-07T18:05:33.930681
1,12,15.0,35.21,20.0,-25.0,48.7,30.0,50.0,-10.0,25.0,Victoria,2025-06-07T18:06:29.092806
2,11,15.0,35.105000000000004,41.15,-25.0,36.85,50.42,73.4,-10.0,25.0,Derrota,2025-06-07T18:07:56.218698
2,12,15.0,35.105000000000004,41.15,-25.0,36.85,50.42,73.4,-10.0,25.0,Victoria,2025-06-07T18:09:31.146966
1,11,15.0,35.105000000000004,39.09,-25.0,36.85,40.21,45.82,-10.0,25.0,Derrota,2025-06-07T18:12:08.312551
1,12,15.0,35.105000000000004,39.09,-25.0,36.85,40.21,45.82,-10.0,25.0,Victoria,2025-06-07T18:13:34.744541
2,11,15.0,35.105000000000004,34.8325,-25.0,40.89,20.83,53.760000000000005,0,25.0,Derrota,2025-06-07T18:14:49.937189
2,12,15.0,35.105000000000004,34.8325,-25.0,40.89,20.83,53.760000000000005,0,25.0,Victoria,2025-06-07T18:16:06.541281
3,11,35.2,36.13,34.8325,-20.73,38.870000000000005,30.52,76.08,-9.56,24.68,Derrota,2025-06-07T18:17:41.124770
3,12,35.2,36.13,34.8325,-20.73,38.870000000000005,30.52,76.08,-9.56,24.68,Victoria,2025-06-07T18:19:19.235219
4,11,17.6,35.61750000000001,25.02,-22.865000000000002,40.56,30.52,64.92,-7.28,24.84,Derrota,2025-06-07T18:20:50.817686
4,12,17.6,35.61750000000001,25.02,-22.865000000000002,40.56,30.52,64.92,-7.28,24.84,Victoria,2025-06-07T18:22:22.722186
5,11,9.79,35.61750000000001,29.926250000000003,-22.865000000000002,18.87,56.18,64.92,-7.28,24.84,Derrota,2025-06-07T18:23:26.492046
5,12,9.79,35.61750000000001,29.926250000000003,-22.865000000000002,18.87,56.18,64.92,-7.28,24.84,Victoria,2025-06-07T18:24:30.845934
6,11,21.02,35.61750000000001,29.926250000000003,-22.865000000000002,29.292500000000004,13.69,53.3,-7.28,24.84,Derrota,2025-06-07T18:25:58.786300
6,12,21.02,35.61750000000001,29.926250000000003,-22.865000000000002,29.292500000000004,13.69,53.3,-7.28,24.84,Victoria,2025-06-07T18:27:25.218254
7,11,35.95,32.13,29.926250000000003,-22.865000000000002,38.16,47.83,59.11,-7.28,24.84,Derrota,2025-06-07T18:28:56.876335
7,12,35.95,32.13,29.926250000000003,-22.865000000000002,38.16,47.83,59.11,-7.28,24.84,Victoria,2025-06-07T18:30:27.032600
8,11,27.122500000000002,33.87375,29.926250000000003,-32.6,34.4,38.175,66.98,-12.75,24.84,Derrota,2025-06-07T18:31:56.531912
8,12,27.122500000000002,33.87375,29.926250000000003,-32.6,34.4,38.175,66.98,-12.75,24.84,Victoria,2025-06-07T18:33:28.021886
9,11,27.122500000000002,33.87375,29.926250000000003,-9.82,5.46,38.175,63.045,-10.015,19.48,Derrota,2025-06-07T18:34:57.612077
9,12,27.122500000000002,33.87375,29.926250000000003,-9.82,5.46,38.175,63.045,-10.015,19.48,Victoria,2025-06-07T18:36:26.740457
10,11,0.85,33.87375,29.926250000000003,-18.77625,13.16,46.87,63.045,-10.015,0,Derrota,2025-06-07T18:37:41.834250
10,12,0.85,33.87375,29.926250000000003,-18.77625,13.16,46.87,63.045,-10.015,0,Victoria,2025-06-07T18:38:57.317506
11,11,13.986250000000002,33.87375,29.926250000000003,-18.77625,16.46078125,42.522499999999994,42.1,0,8.05,Victoria,2025-06-07T18:40:27.290706
11,12,13.986250000000002,33.87375,29.926250000000003,-18.77625,16.46078125,42.522499999999994,42.1,0,8.05,Derrota,2025-06-07T18:41:59.490630
12,11,13.986250000000002,33.87375,31.67,-18.77625,16.46078125,42.522499999999994,72.63,-5.0075,9.565000000000001,Victoria,2025-06-07T18:44:05.433500
12,12,13.986250000000002,33.87375,31.67,-18.77625,16.46078125,42.522499999999994,72.63,-5.0075,9.565000000000001,Derrota,2025-06-07T18:46:16.169727
13,11,13.986250000000002,33.87375,30.798125000000002,-18.77625,16.46078125,42.522499999999994,41.9,-30.24,9.565000000000001,Victoria,2025-06-07T18:48:12.303336
13,12,13.986250000000002,33.87375,30.798125000000002,-18.77625,16.46078125,42.522499999999994,41.9,-30.24,9.565000000000001,Derrota,2025-06-07T18:50:01.173426
14,11,13.986250000000002,39.33,30.798125000000002,-11.47,16.46078125,42.522499999999994,52.250625,-34.18,9.565000000000001,Victoria,2025-06-07T18:52:17.209509
14,12,13.986250000000002,39.33,30.798125000000002,-11.47,16.46078125,42.522499999999994,52.250625,-34.18,9.565000000000001,Derrota,2025-06-07T18:54:21.035531
15,11,7.42,36.601875,30.798125000000002,-2.68,16.46078125,66.12,52.250625,-3.12,9.565000000000001,Victoria,2025-06-07T18:56:29.982946
15,12,7.42,36.601875,30.798125000000002,-2.68,16.46078125,66.12,52.250625,-3.12,9.565000000000001,Derrota,2025-06-07T18:58:47.390902
16,11,10.703125,65.6,30.798125000000002,-8.9015625,16.46078125,54.32125,52.250625,-14.5109375,9.565000000000001,Derrota,2025-06-07T19:00:42.582902
16,12,10.703125,65.6,30.798125000000002,-8.9015625,16.46078125,54.32125,52.250625,-14.5109375,9.565000000000001,Victoria,2025-06-07T19:02:42.726400
17,11,10.703125,75.33,30.798125000000002,0,28.65,35.49,52.250625,-24.18,9.565000000000001,Victoria,2025-06-07T19:05:00.294413
17,12,10.703125,75.33,30.798125000000002,0,28.65,35.49,52.250625,-24.18,9.565000000000001,Derrota,2025-06-07T19:07:05.605075
18,11,10.703125,65.47,30.798125000000002,-4.45078125,22.555390625,30.23,80.57,-19.345468750000002,13.92,Victoria,2025-06-07T19:08:53.822586
18,12,10.703125,65.47,30.798125000000002,-4.45078125,22.555390625,30.23,80.57,-19.345468750000002,13.92,Derrota,2025-06-07T19:10:29.214241
19,11,10.703125,64.34273437499999,47.72,0,2.06,37.5678125,66.4103125,-19.345468750000002,38.88,Derrota,2025-06-07T19:12:03.382777
19,12,10.703125,64.34273437499999,47.72,0,2.06,37.5678125,66.4103125,-19.345468750000002,38.88,Victoria,2025-06-07T19:13:39.665170
20,11,10.703125,64.34273437499999,39.2590625,-2.225390625,12.3076953125,37.5678125,66.4103125,-22.42,10.71,Derrota,2025-06-07T19:14:50.240249
20,12,10.703125,64.34273437499999,39.2590625,-2.225390625,12.3076953125,37.5678125,66.4103125,-22.42,10.71,Victoria,2025-06-07T19:15:54.788153
21,11,10.703125,65.58,14.49,-2.225390625,8.12,37.5678125,66.4103125,-20.882734375000002,5.59,Victoria,2025-06-07T19:17:21.593305
21,12,10.703125,65.58,14.49,-2.225390625,8.12,37.5678125,66.4103125,-20.882734375000002,5.59,Derrota,2025-06-07T19:18:46.403087
22,11,10.703125,64.9613671875,1.14,-18.72,2.06,37.5678125,66.4103125,-20.882734375000002,30.27,Victoria,2025-06-07T19:20:15.173784
22,12,10.703125,64.9613671875,1.14,-18.72,2.06,37.5678125,66.4103125,-20.882734375000002,30.27,Derrota,2025-06-07T19:21:39.133403
23,11,10.703125,65.64,14.007265625,-10.472695312499999,6.136923828125,37.5678125,93.06,-20.882734375000002,21.03515625,Victoria,2025-06-07T19:23:03.155794
23,12,10.703125,65.64,14.007265625,-10.472695312499999,6.136923828125,37.5678125,93.06,-20.882734375000002,21.03515625,Derrota,2025-06-07T19:24:25.208791
24,11,0,70.87,0,-10.472695312499999,6.136923828125,37.5678125,79.73515625,-20.882734375000002,21.03515625,Derrota,2025-06-07T19:25:53.331279
24,12,0,70.87,0,-10.472695312499999,6.136923828125,37.5678125,79.73515625,-20.882734375000002,21.03515625,Victoria,2025-06-07T19:27:28.954573
25,11,0,68.085341796875,32.76,-10.472695312499999,6.136923828125,37.5678125,100,-20.882734375000002,21.03515625,Victoria,2025-06-07T19:28:16.810260
25,12,0,68.085341796875,32.76,-10.472695312499999,6.136923828125,37.5678125,100,-20.882734375000002,21.03515625,Derrota,2025-06-07T19:29:06.984116
26,11,2.67578125,68.085341796875,19.88181640625,-10.472695312499999,6.136923828125,37.5678125,89.867578125,-20.882734375000002,21.03515625,Victoria,2025-06-07T19:30:12.353709
26,12,2.67578125,68.085341796875,19.88181640625,-10.472695312499999,6.136923828125,37.5678125,89.867578125,-20.882734375000002,21.03515625,Derrota,2025-06-07T19:31:14.618110
27,11,0.8,69.49,19.88181640625,-10.472695312499999,6.136923828125,29.46,89.867578125,-20.882734375000002,21.03515625,Victoria,2025-06-07T19:32:24.160221
27,12,0.8,69.49,19.88181640625,-10.472695312499999,6.136923828125,29.46,89.867578125,-20.882734375000002,21.03515625,Derrota,2025-06-07T19:33:28.820275
28,11,0,68.7876708984375,19.88181640625,-10.472695312499999,6.136923828125,33.513906250000005,89.867578125,0,21.03515625,Victoria,2025-06-07T19:34:33.445094
28,12,0,68.7876708984375,19.88181640625,-10.472695312499999,6.136923828125,33.513906250000005,89.867578125,0,21.03515625,Derrota,2025-06-07T19:35:41.873823
29,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,6.136923828125,33.513906250000005,89.867578125,-33.06,21.03515625,Derrota,2025-06-07T19:36:54.712641
29,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,6.136923828125,33.513906250000005,89.867578125,-33.06,21.03515625,Victoria,2025-06-07T19:38:05.877698
30,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,6.136923828125,33.513906250000005,89.867578125,-21.75068359375,21.03515625,Victoria,2025-06-07T19:39:11.913343
30,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,6.136923828125,33.513906250000005,89.867578125,-21.75068359375,21.03515625,Derrota,2025-06-07T19:40:19.080851
31,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,12.53,33.513906250000005,89.867578125,-36.33,21.03515625,Victoria,2025-06-07T19:41:37.534069
31,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,12.53,33.513906250000005,89.867578125,-36.33,21.03515625,Derrota,2025-06-07T19:42:49.749714
32,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,21.03515625,Victoria,2025-06-07T19:43:57.908277
32,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,21.03515625,Derrota,2025-06-07T19:45:14.362975
33,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,4.4,Victoria,2025-06-07T19:46:20.534434
33,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,9.3334619140625,33.513906250000005,89.867578125,-29.040341796874998,4.4,Derrota,2025-06-07T19:47:33.627658
34,11,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,0,33.513906250000005,89.867578125,-29.040341796874998,19.35,Victoria,2025-06-07T19:48:31.178166
34,12,0.8689453125,68.7876708984375,19.88181640625,-10.472695312499999,0,33.513906250000005,89.867578125,-29.040341796874998,19.35,Derrota,2025-06-07T19:49:29.881085
35,11,0,68.7876708984375,19.88181640625,-10.472695312499999,20.21,33.513906250000005,89.867578125,-29.040341796874998,0,Victoria,2025-06-07T19:50:27.786685
35,12,0,68.7876708984375,19.88181640625,-10.472695312499999,20.21,33.513906250000005,89.867578125,-29.040341796874998,0,Derrota,2025-06-07T19:51:25.436767
