generacion,empieza,min_distancia,max_distancia,comer_propia,max_comer,min_comer,ficha_casa,casilla_segura,recta_final,casilla_final,rebote,barrera,resultado,timestamp
1,11,86.83,0,0,-1.0,0.0,-17.5,10.0,41.58,20.0,0.0,0.0,Derrota,2025-06-08T16:43:54.255403
1,12,86.83,0,0,-1.0,0.0,-17.5,10.0,41.58,20.0,0.0,0.0,Derrota,2025-06-08T16:45:00.655665
2,11,70.0,0.0,17.0,-1.0,0.0,-17.5,10.0,15.0,20.0,0.0,0.0,Derrota,2025-06-08T16:45:15.696737
2,12,70.0,0.0,17.0,-1.0,0.0,-17.5,10.0,15.0,20.0,0.0,0.0,Victoria,2025-06-08T16:46:29.634352
3,11,58.89,0.0,17.0,0,0.0,-17.5,10.0,15.0,24.19,0.0,0.0,Victoria,2025-06-08T16:47:42.606122
3,12,58.89,0.0,17.0,0,0.0,-17.5,10.0,15.0,24.19,0.0,0.0,Victoria,2025-06-08T16:48:55.700263
4,11,58.89,0.0,15.34,0,-17.07,-12.62,0,0,24.19,0.0,0.0,Derrota,2025-06-08T16:50:09.974390
4,12,58.89,0.0,15.34,0,-17.07,-12.62,0,0,24.19,0.0,0.0,Derrota,2025-06-08T16:51:12.687023
5,11,83.53,0.0,17.0,0,-25.82,-17.5,10.0,0,24.19,0,0,Victoria,2025-06-08T16:52:33.621507
5,12,83.53,0.0,17.0,0,-25.82,-17.5,10.0,0,24.19,0,0,Derrota,2025-06-08T16:53:38.014833
6,11,61.46,0.0,17.0,0,0.0,-32.06,10.0,16.48,24.19,0.0,0.0,Victoria,2025-06-08T16:54:44.454230
6,12,61.46,0.0,17.0,0,0.0,-32.06,10.0,16.48,24.19,0.0,0.0,Derrota,2025-06-08T16:55:46.288247
7,11,49.91,0.0,17.0,0,0.0,-17.5,10.0,15.0,6.35,0.0,0.0,Derrota,2025-06-08T16:57:05.389177
7,12,49.91,0.0,17.0,0,0.0,-17.5,10.0,15.0,6.35,0.0,0.0,Derrota,2025-06-08T16:58:18.190830
