funcid,dim,milestone,error
9,50,1,4.624736e+04
9,50,2,4.624736e+04
9,50,3,4.624736e+04
9,50,5,4.605775e+04
9,50,10,4.008163e+04
9,50,20,3.965826e+04
9,50,30,3.378977e+04
9,50,40,3.378977e+04
9,50,50,3.259323e+04
9,50,60,3.259323e+04
9,50,70,2.922428e+04
9,50,80,2.922428e+04
9,50,90,2.371180e+04
9,50,100,2.371180e+04
9,50,1,4.870105e+04
9,50,2,4.870105e+04
9,50,3,4.848076e+04
9,50,5,4.848076e+04
9,50,10,4.471165e+04
9,50,20,4.281955e+04
9,50,30,3.975310e+04
9,50,40,3.923490e+04
9,50,50,3.716625e+04
9,50,60,3.094320e+04
9,50,70,3.094320e+04
9,50,80,3.094320e+04
9,50,90,2.686200e+04
9,50,100,2.686200e+04
9,50,1,5.413238e+04
9,50,2,4.824864e+04
9,50,3,4.824864e+04
9,50,5,4.764436e+04
9,50,10,4.390924e+04
9,50,20,3.813352e+04
9,50,30,3.744250e+04
9,50,40,3.633641e+04
9,50,50,3.469832e+04
9,50,60,3.371824e+04
9,50,70,3.278447e+04
9,50,80,2.767889e+04
9,50,90,2.325262e+04
9,50,100,2.276826e+04
9,50,1,5.188050e+04
9,50,2,5.188050e+04
9,50,3,4.781036e+04
9,50,5,4.362791e+04
9,50,10,4.362791e+04
9,50,20,4.050328e+04
9,50,30,4.050328e+04
9,50,40,3.932625e+04
9,50,50,3.428238e+04
9,50,60,2.787159e+04
9,50,70,2.787159e+04
9,50,80,2.787159e+04
9,50,90,2.787159e+04
9,50,100,2.787159e+04
9,50,1,4.674449e+04
9,50,2,4.674449e+04
9,50,3,4.286979e+04
9,50,5,4.286979e+04
9,50,10,4.286979e+04
9,50,20,4.113193e+04
9,50,30,3.956916e+04
9,50,40,3.956916e+04
9,50,50,3.350050e+04
9,50,60,2.938215e+04
9,50,70,2.931124e+04
9,50,80,2.931124e+04
9,50,90,2.931124e+04
9,50,100,2.931124e+04
9,50,1,4.798170e+04
9,50,2,4.798170e+04
9,50,3,4.798170e+04
9,50,5,4.686683e+04
9,50,10,4.206910e+04
9,50,20,4.206910e+04
9,50,30,4.206910e+04
9,50,40,3.929025e+04
9,50,50,3.361941e+04
9,50,60,3.361941e+04
9,50,70,2.686704e+04
9,50,80,2.686704e+04
9,50,90,2.686704e+04
9,50,100,2.686704e+04
9,50,1,5.020250e+04
9,50,2,4.720065e+04
9,50,3,3.498321e+04
9,50,5,3.498321e+04
9,50,10,3.498321e+04
9,50,20,3.498321e+04
9,50,30,3.498321e+04
9,50,40,3.498321e+04
9,50,50,3.498321e+04
9,50,60,3.287687e+04
9,50,70,3.074748e+04
9,50,80,3.074748e+04
9,50,90,3.074748e+04
9,50,100,3.074748e+04
9,50,1,4.951423e+04
9,50,2,4.860298e+04
9,50,3,4.860298e+04
9,50,5,3.729999e+04
9,50,10,3.729999e+04
9,50,20,3.729999e+04
9,50,30,3.729999e+04
9,50,40,3.729999e+04
9,50,50,3.603189e+04
9,50,60,3.462103e+04
9,50,70,3.415115e+04
9,50,80,2.886089e+04
9,50,90,2.604533e+04
9,50,100,2.604533e+04
9,50,1,5.074593e+04
9,50,2,4.838333e+04
9,50,3,4.838333e+04
9,50,5,4.838333e+04
9,50,10,4.531024e+04
9,50,20,4.235417e+04
9,50,30,4.004254e+04
9,50,40,3.724529e+04
9,50,50,3.172421e+04
9,50,60,3.172421e+04
9,50,70,3.172421e+04
9,50,80,2.662680e+04
9,50,90,2.662680e+04
9,50,100,2.662680e+04
9,50,1,5.145149e+04
9,50,2,4.446964e+04
9,50,3,4.446964e+04
9,50,5,4.446964e+04
9,50,10,4.446964e+04
9,50,20,3.898262e+04
9,50,30,3.898262e+04
9,50,40,3.898262e+04
9,50,50,3.495480e+04
9,50,60,3.002445e+04
9,50,70,3.002445e+04
9,50,80,3.002445e+04
9,50,90,3.002445e+04
9,50,100,2.851089e+04
