funcid,dim,milestone,error
27,50,1,1.982535e+03
27,50,2,1.982535e+03
27,50,3,1.982535e+03
27,50,5,1.849123e+03
27,50,10,1.626261e+03
27,50,20,1.548665e+03
27,50,30,1.465021e+03
27,50,40,1.465021e+03
27,50,50,1.465021e+03
27,50,60,1.400500e+03
27,50,70,1.400500e+03
27,50,80,1.400500e+03
27,50,90,1.400500e+03
27,50,100,1.400500e+03
27,50,1,2.751549e+03
27,50,2,2.560413e+03
27,50,3,2.175895e+03
27,50,5,1.995022e+03
27,50,10,1.693086e+03
27,50,20,1.693086e+03
27,50,30,1.499953e+03
27,50,40,1.439125e+03
27,50,50,1.439125e+03
27,50,60,1.439125e+03
27,50,70,1.439125e+03
27,50,80,1.439125e+03
27,50,90,1.439125e+03
27,50,100,1.439125e+03
27,50,1,3.356928e+03
27,50,2,2.694587e+03
27,50,3,2.197100e+03
27,50,5,2.197100e+03
27,50,10,2.197100e+03
27,50,20,2.175334e+03
27,50,30,2.175334e+03
27,50,40,2.175334e+03
27,50,50,1.896534e+03
27,50,60,1.896534e+03
27,50,70,1.896534e+03
27,50,80,1.896534e+03
27,50,90,1.896534e+03
27,50,100,1.896534e+03
27,50,1,2.056621e+03
27,50,2,2.056621e+03
27,50,3,2.056621e+03
27,50,5,1.868002e+03
27,50,10,1.850307e+03
27,50,20,1.850307e+03
27,50,30,1.780129e+03
27,50,40,1.780129e+03
27,50,50,1.780129e+03
27,50,60,1.780129e+03
27,50,70,1.780129e+03
27,50,80,1.780129e+03
27,50,90,1.780129e+03
27,50,100,1.780129e+03
27,50,1,2.382728e+03
27,50,2,2.382728e+03
27,50,3,2.382728e+03
27,50,5,2.314440e+03
27,50,10,2.155559e+03
27,50,20,2.131398e+03
27,50,30,2.131398e+03
27,50,40,2.131398e+03
27,50,50,2.131398e+03
27,50,60,2.131398e+03
27,50,70,2.131398e+03
27,50,80,2.131398e+03
27,50,90,2.131398e+03
27,50,100,2.131398e+03
27,50,1,2.138058e+03
27,50,2,2.138058e+03
27,50,3,2.138058e+03
27,50,5,1.870140e+03
27,50,10,1.841256e+03
27,50,20,1.841256e+03
27,50,30,1.841256e+03
27,50,40,1.841256e+03
27,50,50,1.841256e+03
27,50,60,1.690223e+03
27,50,70,1.690223e+03
27,50,80,1.578771e+03
27,50,90,1.578771e+03
27,50,100,1.578771e+03
27,50,1,2.511502e+03
27,50,2,2.511502e+03
27,50,3,2.267514e+03
27,50,5,2.267514e+03
27,50,10,2.267514e+03
27,50,20,1.864178e+03
27,50,30,1.798395e+03
27,50,40,1.798395e+03
27,50,50,1.744447e+03
27,50,60,1.727675e+03
27,50,70,1.392713e+03
27,50,80,1.392713e+03
27,50,90,1.392713e+03
27,50,100,1.392713e+03
27,50,1,2.519329e+03
27,50,2,2.254772e+03
27,50,3,2.040074e+03
27,50,5,2.040074e+03
27,50,10,2.040074e+03
27,50,20,1.980363e+03
27,50,30,1.623701e+03
27,50,40,1.594541e+03
27,50,50,1.594541e+03
27,50,60,1.594541e+03
27,50,70,1.594541e+03
27,50,80,1.594541e+03
27,50,90,1.594541e+03
27,50,100,1.594541e+03
27,50,1,1.886018e+03
27,50,2,1.886018e+03
27,50,3,1.886018e+03
27,50,5,1.886018e+03
27,50,10,1.886018e+03
27,50,20,1.886018e+03
27,50,30,1.880569e+03
27,50,40,1.846823e+03
27,50,50,1.754460e+03
27,50,60,1.754460e+03
27,50,70,1.754460e+03
27,50,80,1.754460e+03
27,50,90,1.754460e+03
27,50,100,1.754460e+03
27,50,1,2.157571e+03
27,50,2,2.157571e+03
27,50,3,2.157571e+03
27,50,5,2.157571e+03
27,50,10,1.950348e+03
27,50,20,1.932394e+03
27,50,30,1.932394e+03
27,50,40,1.849262e+03
27,50,50,1.814391e+03
27,50,60,1.814391e+03
27,50,70,1.814391e+03
27,50,80,1.814391e+03
27,50,90,1.814391e+03
27,50,100,1.814391e+03
27,50,1,1.982535e+03
27,50,2,1.982535e+03
27,50,3,1.982535e+03
27,50,5,1.849123e+03
27,50,10,1.626261e+03
27,50,20,1.548665e+03
27,50,30,1.465021e+03
27,50,40,1.465021e+03
27,50,50,1.465021e+03
27,50,60,1.400500e+03
27,50,70,1.400500e+03
27,50,80,1.400500e+03
27,50,90,1.400500e+03
27,50,100,1.400500e+03
27,50,1,2.751549e+03
27,50,2,2.560413e+03
27,50,3,2.175895e+03
27,50,5,1.995022e+03
27,50,10,1.693086e+03
27,50,20,1.693086e+03
27,50,30,1.499953e+03
27,50,40,1.439125e+03
27,50,50,1.439125e+03
27,50,60,1.439125e+03
27,50,70,1.439125e+03
27,50,80,1.439125e+03
27,50,90,1.439125e+03
27,50,100,1.439125e+03
27,50,1,3.356928e+03
27,50,2,2.694587e+03
27,50,3,2.197100e+03
27,50,5,2.197100e+03
27,50,10,2.197100e+03
27,50,20,2.175334e+03
27,50,30,2.175334e+03
27,50,40,2.175334e+03
27,50,50,1.896534e+03
27,50,60,1.896534e+03
27,50,70,1.896534e+03
27,50,80,1.896534e+03
27,50,90,1.896534e+03
27,50,100,1.896534e+03
27,50,1,2.056621e+03
27,50,2,2.056621e+03
27,50,3,2.056621e+03
27,50,5,1.868002e+03
27,50,10,1.850307e+03
27,50,20,1.850307e+03
27,50,30,1.780129e+03
27,50,40,1.780129e+03
27,50,50,1.780129e+03
27,50,60,1.780129e+03
27,50,70,1.780129e+03
27,50,80,1.780129e+03
27,50,90,1.780129e+03
27,50,100,1.780129e+03
27,50,1,2.382728e+03
27,50,2,2.382728e+03
27,50,3,2.382728e+03
27,50,5,2.314440e+03
27,50,10,2.155559e+03
27,50,20,2.131398e+03
27,50,30,2.131398e+03
27,50,40,2.131398e+03
27,50,50,2.131398e+03
27,50,60,2.131398e+03
27,50,70,2.131398e+03
27,50,80,2.131398e+03
27,50,90,2.131398e+03
27,50,100,2.131398e+03
27,50,1,2.138058e+03
27,50,2,2.138058e+03
27,50,3,2.138058e+03
27,50,5,1.870140e+03
27,50,10,1.841256e+03
27,50,20,1.841256e+03
27,50,30,1.841256e+03
27,50,40,1.841256e+03
27,50,50,1.841256e+03
27,50,60,1.690223e+03
27,50,70,1.690223e+03
27,50,80,1.578771e+03
27,50,90,1.578771e+03
27,50,100,1.578771e+03
27,50,1,2.511502e+03
27,50,2,2.511502e+03
27,50,3,2.267514e+03
27,50,5,2.267514e+03
27,50,10,2.267514e+03
27,50,20,1.864178e+03
27,50,30,1.798395e+03
27,50,40,1.798395e+03
27,50,50,1.744447e+03
27,50,60,1.727675e+03
27,50,70,1.392713e+03
27,50,80,1.392713e+03
27,50,90,1.392713e+03
27,50,100,1.392713e+03
27,50,1,2.519329e+03
27,50,2,2.254772e+03
27,50,3,2.040074e+03
27,50,5,2.040074e+03
27,50,10,2.040074e+03
27,50,20,1.980363e+03
27,50,30,1.623701e+03
27,50,40,1.594541e+03
27,50,50,1.594541e+03
27,50,60,1.594541e+03
27,50,70,1.594541e+03
27,50,80,1.594541e+03
27,50,90,1.594541e+03
27,50,100,1.594541e+03
27,50,1,1.886018e+03
27,50,2,1.886018e+03
27,50,3,1.886018e+03
27,50,5,1.886018e+03
27,50,10,1.886018e+03
27,50,20,1.886018e+03
27,50,30,1.880569e+03
27,50,40,1.846823e+03
27,50,50,1.754460e+03
27,50,60,1.754460e+03
27,50,70,1.754460e+03
27,50,80,1.754460e+03
27,50,90,1.754460e+03
27,50,100,1.754460e+03
27,50,1,2.157571e+03
27,50,2,2.157571e+03
27,50,3,2.157571e+03
27,50,5,2.157571e+03
27,50,10,1.950348e+03
27,50,20,1.932394e+03
27,50,30,1.932394e+03
27,50,40,1.849262e+03
27,50,50,1.814391e+03
27,50,60,1.814391e+03
27,50,70,1.814391e+03
27,50,80,1.814391e+03
27,50,90,1.814391e+03
27,50,100,1.814391e+03
