funcid,dim,milestone,error
27,50,1,1.506172e+03
27,50,2,1.505882e+03
27,50,3,1.504527e+03
27,50,5,1.504526e+03
27,50,10,1.504526e+03
27,50,20,1.504526e+03
27,50,30,1.501704e+03
27,50,40,1.501555e+03
27,50,50,1.501533e+03
27,50,60,1.501522e+03
27,50,70,1.500738e+03
27,50,80,1.500407e+03
27,50,90,1.500195e+03
27,50,100,1.500172e+03
27,50,1,1.445097e+03
27,50,2,1.445096e+03
27,50,3,1.445096e+03
27,50,5,1.445096e+03
27,50,10,1.445096e+03
27,50,20,1.439958e+03
27,50,30,1.439631e+03
27,50,40,1.438467e+03
27,50,50,1.438467e+03
27,50,60,1.438216e+03
27,50,70,1.438172e+03
27,50,80,1.437630e+03
27,50,90,1.437612e+03
27,50,100,1.437611e+03
27,50,1,2.425859e+03
27,50,2,2.425816e+03
27,50,3,2.425816e+03
27,50,5,2.425816e+03
27,50,10,2.425792e+03
27,50,20,2.413017e+03
27,50,30,2.412934e+03
27,50,40,2.412924e+03
27,50,50,2.370028e+03
27,50,60,2.370002e+03
27,50,70,2.369997e+03
27,50,80,2.369996e+03
27,50,90,2.359560e+03
27,50,100,2.359559e+03
27,50,1,1.730943e+03
27,50,2,1.730943e+03
27,50,3,1.730943e+03
27,50,5,1.730943e+03
27,50,10,1.730943e+03
27,50,20,1.730941e+03
27,50,30,1.730700e+03
27,50,40,1.729367e+03
27,50,50,1.729365e+03
27,50,60,1.729128e+03
27,50,70,1.728983e+03
27,50,80,1.728932e+03
27,50,90,1.728196e+03
27,50,100,1.727390e+03
27,50,1,2.231646e+03
27,50,2,2.231646e+03
27,50,3,2.231646e+03
27,50,5,2.231646e+03
27,50,10,2.231646e+03
27,50,20,2.231309e+03
27,50,30,2.230961e+03
27,50,40,2.229542e+03
27,50,50,2.228371e+03
27,50,60,2.227987e+03
27,50,70,2.227986e+03
27,50,80,2.227939e+03
27,50,90,2.227624e+03
27,50,100,2.227620e+03
27,50,1,1.988084e+03
27,50,2,1.988055e+03
27,50,3,1.988055e+03
27,50,5,1.988055e+03
27,50,10,1.988055e+03
27,50,20,1.987146e+03
27,50,30,1.975491e+03
27,50,40,1.968098e+03
27,50,50,1.968094e+03
27,50,60,1.968075e+03
27,50,70,1.967973e+03
27,50,80,1.967878e+03
27,50,90,1.967265e+03
27,50,100,1.967251e+03
27,50,1,1.682324e+03
27,50,2,1.682324e+03
27,50,3,1.682324e+03
27,50,5,1.682324e+03
27,50,10,1.682324e+03
27,50,20,1.669714e+03
27,50,30,1.669712e+03
27,50,40,1.669711e+03
27,50,50,1.668752e+03
27,50,60,1.668751e+03
27,50,70,1.668470e+03
27,50,80,1.668334e+03
27,50,90,1.668333e+03
27,50,100,1.668242e+03
27,50,1,1.361205e+03
27,50,2,1.361205e+03
27,50,3,1.361205e+03
27,50,5,1.361205e+03
27,50,10,1.361205e+03
27,50,20,1.357574e+03
27,50,30,1.355523e+03
27,50,40,1.353512e+03
27,50,50,1.352384e+03
27,50,60,1.352380e+03
27,50,70,1.352006e+03
27,50,80,1.351506e+03
27,50,90,1.350960e+03
27,50,100,1.350083e+03
27,50,1,1.815442e+03
27,50,2,1.815175e+03
27,50,3,1.815173e+03
27,50,5,1.815172e+03
27,50,10,1.815172e+03
27,50,20,1.809604e+03
27,50,30,1.809552e+03
27,50,40,1.807973e+03
27,50,50,1.806138e+03
27,50,60,1.806118e+03
27,50,70,1.805622e+03
27,50,80,1.805622e+03
27,50,90,1.805622e+03
27,50,100,1.805622e+03
27,50,1,1.698038e+03
27,50,2,1.698038e+03
27,50,3,1.698038e+03
27,50,5,1.698038e+03
27,50,10,1.698038e+03
27,50,20,1.691009e+03
27,50,30,1.690098e+03
27,50,40,1.689395e+03
27,50,50,1.689394e+03
27,50,60,1.687274e+03
27,50,70,1.687274e+03
27,50,80,1.686957e+03
27,50,90,1.686881e+03
27,50,100,1.686748e+03
