funcid,dim,milestone,error
29,10,1,5.709607e+02
29,10,2,5.709607e+02
29,10,3,5.709607e+02
29,10,5,5.709607e+02
29,10,10,5.709607e+02
29,10,20,5.095976e+02
29,10,30,4.391678e+02
29,10,40,3.876902e+02
29,10,50,3.876902e+02
29,10,60,3.876902e+02
29,10,70,3.876902e+02
29,10,80,3.876902e+02
29,10,90,3.335188e+02
29,10,100,3.335188e+02
29,10,1,6.157996e+02
29,10,2,6.157996e+02
29,10,3,5.054955e+02
29,10,5,5.054955e+02
29,10,10,4.109973e+02
29,10,20,4.109973e+02
29,10,30,4.109973e+02
29,10,40,4.109973e+02
29,10,50,3.924238e+02
29,10,60,3.924238e+02
29,10,70,3.924238e+02
29,10,80,3.716553e+02
29,10,90,3.175654e+02
29,10,100,3.175654e+02
29,10,1,5.835667e+02
29,10,2,5.093878e+02
29,10,3,5.093878e+02
29,10,5,5.093878e+02
29,10,10,4.532192e+02
29,10,20,4.532192e+02
29,10,30,4.532192e+02
29,10,40,4.532192e+02
29,10,50,4.389531e+02
29,10,60,4.171106e+02
29,10,70,4.171106e+02
29,10,80,3.446888e+02
29,10,90,3.446888e+02
29,10,100,3.446888e+02
29,10,1,5.928309e+02
29,10,2,5.928309e+02
29,10,3,5.928309e+02
29,10,5,5.928309e+02
29,10,10,5.049747e+02
29,10,20,5.006927e+02
29,10,30,3.806058e+02
29,10,40,3.806058e+02
29,10,50,3.806058e+02
29,10,60,3.628631e+02
29,10,70,3.628631e+02
29,10,80,3.628631e+02
29,10,90,3.628631e+02
29,10,100,3.628631e+02
29,10,1,7.026720e+02
29,10,2,6.722452e+02
29,10,3,6.722452e+02
29,10,5,5.253590e+02
29,10,10,5.253590e+02
29,10,20,5.253590e+02
29,10,30,4.180301e+02
29,10,40,4.180301e+02
29,10,50,4.180301e+02
29,10,60,4.180301e+02
29,10,70,4.164455e+02
29,10,80,4.152532e+02
29,10,90,4.150567e+02
29,10,100,4.150567e+02
29,10,1,6.397889e+02
29,10,2,6.397889e+02
29,10,3,6.309195e+02
29,10,5,4.427511e+02
29,10,10,4.427511e+02
29,10,20,4.427511e+02
29,10,30,3.723253e+02
29,10,40,3.723253e+02
29,10,50,3.723253e+02
29,10,60,3.723253e+02
29,10,70,3.723253e+02
29,10,80,3.723253e+02
29,10,90,3.723253e+02
29,10,100,3.723253e+02
29,10,1,6.391757e+02
29,10,2,6.391757e+02
29,10,3,4.771417e+02
29,10,5,4.771417e+02
29,10,10,4.466652e+02
29,10,20,4.466652e+02
29,10,30,4.466652e+02
29,10,40,4.466652e+02
29,10,50,3.891499e+02
29,10,60,3.117309e+02
29,10,70,3.117309e+02
29,10,80,3.117309e+02
29,10,90,3.117309e+02
29,10,100,3.117309e+02
29,10,1,5.557247e+02
29,10,2,5.557247e+02
29,10,3,5.557247e+02
29,10,5,5.557247e+02
29,10,10,4.376875e+02
29,10,20,4.376875e+02
29,10,30,4.127880e+02
29,10,40,4.127880e+02
29,10,50,3.791499e+02
29,10,60,3.791499e+02
29,10,70,3.791499e+02
29,10,80,3.791499e+02
29,10,90,3.791499e+02
29,10,100,3.791499e+02
29,10,1,5.498035e+02
29,10,2,5.498035e+02
29,10,3,4.971253e+02
29,10,5,4.938082e+02
29,10,10,4.930875e+02
29,10,20,4.107808e+02
29,10,30,4.107808e+02
29,10,40,4.107808e+02
29,10,50,4.107808e+02
29,10,60,3.734429e+02
29,10,70,3.734429e+02
29,10,80,3.734429e+02
29,10,90,3.734429e+02
29,10,100,3.734429e+02
29,10,1,4.347200e+02
29,10,2,4.347200e+02
29,10,3,4.347200e+02
29,10,5,4.347200e+02
29,10,10,4.347200e+02
29,10,20,4.347200e+02
29,10,30,4.347200e+02
29,10,40,4.347200e+02
29,10,50,3.693422e+02
29,10,60,3.528973e+02
29,10,70,3.528973e+02
29,10,80,3.528973e+02
29,10,90,3.528973e+02
29,10,100,3.528973e+02
29,10,1,5.709607e+02
29,10,2,5.709607e+02
29,10,3,5.709607e+02
29,10,5,5.709607e+02
29,10,10,5.709607e+02
29,10,20,5.095976e+02
29,10,30,4.391678e+02
29,10,40,3.876902e+02
29,10,50,3.876902e+02
29,10,60,3.876902e+02
29,10,70,3.876902e+02
29,10,80,3.876902e+02
29,10,90,3.335188e+02
29,10,100,3.335188e+02
29,10,1,6.157996e+02
29,10,2,6.157996e+02
29,10,3,5.054955e+02
29,10,5,5.054955e+02
29,10,10,4.109973e+02
29,10,20,4.109973e+02
29,10,30,4.109973e+02
29,10,40,4.109973e+02
29,10,50,3.924238e+02
29,10,60,3.924238e+02
29,10,70,3.924238e+02
29,10,80,3.716553e+02
29,10,90,3.175654e+02
29,10,100,3.175654e+02
29,10,1,5.835667e+02
29,10,2,5.093878e+02
29,10,3,5.093878e+02
29,10,5,5.093878e+02
29,10,10,4.532192e+02
29,10,20,4.532192e+02
29,10,30,4.532192e+02
29,10,40,4.532192e+02
29,10,50,4.389531e+02
29,10,60,4.171106e+02
29,10,70,4.171106e+02
29,10,80,3.446888e+02
29,10,90,3.446888e+02
29,10,100,3.446888e+02
29,10,1,5.928309e+02
29,10,2,5.928309e+02
29,10,3,5.928309e+02
29,10,5,5.928309e+02
29,10,10,5.049747e+02
29,10,20,5.006927e+02
29,10,30,3.806058e+02
29,10,40,3.806058e+02
29,10,50,3.806058e+02
29,10,60,3.628631e+02
29,10,70,3.628631e+02
29,10,80,3.628631e+02
29,10,90,3.628631e+02
29,10,100,3.628631e+02
29,10,1,7.026720e+02
29,10,2,6.722452e+02
29,10,3,6.722452e+02
29,10,5,5.253590e+02
29,10,10,5.253590e+02
29,10,20,5.253590e+02
29,10,30,4.180301e+02
29,10,40,4.180301e+02
29,10,50,4.180301e+02
29,10,60,4.180301e+02
29,10,70,4.164455e+02
29,10,80,4.152532e+02
29,10,90,4.150567e+02
29,10,100,4.150567e+02
29,10,1,6.397889e+02
29,10,2,6.397889e+02
29,10,3,6.309195e+02
29,10,5,4.427511e+02
29,10,10,4.427511e+02
29,10,20,4.427511e+02
29,10,30,3.723253e+02
29,10,40,3.723253e+02
29,10,50,3.723253e+02
29,10,60,3.723253e+02
29,10,70,3.723253e+02
29,10,80,3.723253e+02
29,10,90,3.723253e+02
29,10,100,3.723253e+02
29,10,1,6.391757e+02
29,10,2,6.391757e+02
29,10,3,4.771417e+02
29,10,5,4.771417e+02
29,10,10,4.466652e+02
29,10,20,4.466652e+02
29,10,30,4.466652e+02
29,10,40,4.466652e+02
29,10,50,3.891499e+02
29,10,60,3.117309e+02
29,10,70,3.117309e+02
29,10,80,3.117309e+02
29,10,90,3.117309e+02
29,10,100,3.117309e+02
29,10,1,5.557247e+02
29,10,2,5.557247e+02
29,10,3,5.557247e+02
29,10,5,5.557247e+02
29,10,10,4.376875e+02
29,10,20,4.376875e+02
29,10,30,4.127880e+02
29,10,40,4.127880e+02
29,10,50,3.791499e+02
29,10,60,3.791499e+02
29,10,70,3.791499e+02
29,10,80,3.791499e+02
29,10,90,3.791499e+02
29,10,100,3.791499e+02
29,10,1,5.498035e+02
29,10,2,5.498035e+02
29,10,3,4.971253e+02
29,10,5,4.938082e+02
29,10,10,4.930875e+02
29,10,20,4.107808e+02
29,10,30,4.107808e+02
29,10,40,4.107808e+02
29,10,50,4.107808e+02
29,10,60,3.734429e+02
29,10,70,3.734429e+02
