funcid,dim,milestone,error
5,10,1,9.776937e+01
5,10,2,8.947319e+01
5,10,3,8.947319e+01
5,10,5,8.947319e+01
5,10,10,6.368070e+01
5,10,20,6.368070e+01
5,10,30,6.368070e+01
5,10,40,6.368070e+01
5,10,50,5.804736e+01
5,10,60,4.605390e+01
5,10,70,4.605390e+01
5,10,80,4.605390e+01
5,10,90,4.605390e+01
5,10,100,4.605390e+01
5,10,1,8.603228e+01
5,10,2,8.603228e+01
5,10,3,8.603228e+01
5,10,5,8.603228e+01
5,10,10,7.292305e+01
5,10,20,6.087139e+01
5,10,30,6.087139e+01
5,10,40,6.087139e+01
5,10,50,6.087139e+01
5,10,60,6.087139e+01
5,10,70,5.741884e+01
5,10,80,5.115645e+01
5,10,90,3.989453e+01
5,10,100,3.989453e+01
5,10,1,1.071489e+02
5,10,2,6.635742e+01
5,10,3,6.635742e+01
5,10,5,6.635742e+01
5,10,10,6.635742e+01
5,10,20,6.635742e+01
5,10,30,6.635742e+01
5,10,40,6.635742e+01
5,10,50,6.039435e+01
5,10,60,6.039435e+01
5,10,70,5.330421e+01
5,10,80,5.330421e+01
5,10,90,4.520624e+01
5,10,100,4.520624e+01
5,10,1,8.470267e+01
5,10,2,8.470267e+01
5,10,3,8.470267e+01
5,10,5,8.470267e+01
5,10,10,6.715697e+01
5,10,20,6.361288e+01
5,10,30,5.929224e+01
5,10,40,5.929224e+01
5,10,50,4.876503e+01
5,10,60,4.876503e+01
5,10,70,4.876503e+01
5,10,80,4.876503e+01
5,10,90,4.876503e+01
5,10,100,4.563448e+01
5,10,1,1.058843e+02
5,10,2,9.825366e+01
5,10,3,9.825366e+01
5,10,5,9.136412e+01
5,10,10,8.713912e+01
5,10,20,7.279529e+01
5,10,30,7.279529e+01
5,10,40,6.916069e+01
5,10,50,6.916069e+01
5,10,60,5.126625e+01
5,10,70,4.867206e+01
5,10,80,4.867206e+01
5,10,90,4.867206e+01
5,10,100,4.867206e+01
5,10,1,7.608272e+01
5,10,2,7.608272e+01
5,10,3,7.608272e+01
5,10,5,7.431789e+01
5,10,10,7.149591e+01
5,10,20,7.085654e+01
5,10,30,7.085654e+01
5,10,40,6.818424e+01
5,10,50,6.818424e+01
5,10,60,6.818424e+01
5,10,70,6.669559e+01
5,10,80,6.669559e+01
5,10,90,6.669559e+01
5,10,100,6.669559e+01
5,10,1,1.017364e+02
5,10,2,1.017364e+02
5,10,3,9.951934e+01
5,10,5,8.614783e+01
5,10,10,8.614783e+01
5,10,20,8.274397e+01
5,10,30,5.964736e+01
5,10,40,5.964736e+01
5,10,50,5.389286e+01
5,10,60,5.389286e+01
5,10,70,5.389286e+01
5,10,80,5.389286e+01
5,10,90,5.389286e+01
5,10,100,4.465739e+01
5,10,1,1.071893e+02
5,10,2,8.915469e+01
5,10,3,8.915469e+01
5,10,5,8.915469e+01
5,10,10,8.915469e+01
5,10,20,6.066213e+01
5,10,30,6.066213e+01
5,10,40,6.066213e+01
5,10,50,5.813716e+01
5,10,60,5.585300e+01
5,10,70,5.584969e+01
5,10,80,5.584969e+01
5,10,90,5.489871e+01
5,10,100,5.489871e+01
5,10,1,1.125244e+02
5,10,2,8.591243e+01
5,10,3,8.591243e+01
5,10,5,8.591243e+01
5,10,10,8.591243e+01
5,10,20,8.172920e+01
5,10,30,6.564610e+01
5,10,40,6.121607e+01
5,10,50,5.705202e+01
5,10,60,5.188178e+01
5,10,70,4.947112e+01
5,10,80,4.644548e+01
5,10,90,4.644548e+01
5,10,100,4.344290e+01
5,10,1,9.526302e+01
5,10,2,9.526302e+01
5,10,3,9.406796e+01
5,10,5,8.792059e+01
5,10,10,8.792059e+01
5,10,20,6.678996e+01
5,10,30,5.096849e+01
5,10,40,5.096849e+01
5,10,50,5.096849e+01
5,10,60,5.096849e+01
5,10,70,5.046608e+01
5,10,80,5.046608e+01
5,10,90,5.046608e+01
5,10,100,5.046608e+01
5,10,1,9.776937e+01
5,10,2,8.947319e+01
5,10,3,8.947319e+01
5,10,5,8.947319e+01
5,10,10,6.368070e+01
5,10,20,6.368070e+01
5,10,30,6.368070e+01
5,10,40,6.368070e+01
5,10,50,5.804736e+01
5,10,60,4.605390e+01
5,10,70,4.605390e+01
5,10,80,4.605390e+01
5,10,90,4.605390e+01
5,10,100,4.605390e+01
5,10,1,8.603228e+01
5,10,2,8.603228e+01
5,10,3,8.603228e+01
5,10,5,8.603228e+01
5,10,10,7.292305e+01
5,10,20,6.087139e+01
5,10,30,6.087139e+01
5,10,40,6.087139e+01
5,10,50,6.087139e+01
5,10,60,6.087139e+01
5,10,70,5.741884e+01
5,10,80,5.115645e+01
5,10,90,3.989453e+01
5,10,100,3.989453e+01
5,10,1,1.071489e+02
5,10,2,6.635742e+01
5,10,3,6.635742e+01
5,10,5,6.635742e+01
5,10,10,6.635742e+01
5,10,20,6.635742e+01
5,10,30,6.635742e+01
5,10,40,6.635742e+01
5,10,50,6.039435e+01
5,10,60,6.039435e+01
5,10,70,5.330421e+01
5,10,80,5.330421e+01
5,10,90,4.520624e+01
5,10,100,4.520624e+01
5,10,1,8.470267e+01
5,10,2,8.470267e+01
5,10,3,8.470267e+01
5,10,5,8.470267e+01
5,10,10,6.715697e+01
5,10,20,6.361288e+01
5,10,30,5.929224e+01
5,10,40,5.929224e+01
5,10,50,4.876503e+01
5,10,60,4.876503e+01
5,10,70,4.876503e+01
5,10,80,4.876503e+01
5,10,90,4.876503e+01
5,10,100,4.563448e+01
5,10,1,1.058843e+02
5,10,2,9.825366e+01
5,10,3,9.825366e+01
5,10,5,9.136412e+01
5,10,10,8.713912e+01
5,10,20,7.279529e+01
5,10,30,7.279529e+01
5,10,40,6.916069e+01
5,10,50,6.916069e+01
5,10,60,5.126625e+01
5,10,70,4.867206e+01
5,10,80,4.867206e+01
5,10,90,4.867206e+01
5,10,100,4.867206e+01
5,10,1,7.608272e+01
5,10,2,7.608272e+01
5,10,3,7.608272e+01
5,10,5,7.431789e+01
5,10,10,7.149591e+01
5,10,20,7.085654e+01
5,10,30,7.085654e+01
5,10,40,6.818424e+01
5,10,50,6.818424e+01
5,10,60,6.818424e+01
5,10,70,6.669559e+01
5,10,80,6.669559e+01
5,10,90,6.669559e+01
5,10,100,6.669559e+01
5,10,1,1.017364e+02
5,10,2,1.017364e+02
5,10,3,9.951934e+01
5,10,5,8.614783e+01
5,10,10,8.614783e+01
5,10,20,8.274397e+01
5,10,30,5.964736e+01
5,10,40,5.964736e+01
5,10,50,5.389286e+01
5,10,60,5.389286e+01
