funcid,dim,milestone,error
22,10,1,1.279601e+02
22,10,2,1.279585e+02
22,10,3,1.279585e+02
22,10,5,1.279585e+02
22,10,10,1.279585e+02
22,10,20,1.279585e+02
22,10,30,1.279585e+02
22,10,40,1.279585e+02
22,10,50,1.279585e+02
22,10,60,1.279585e+02
22,10,70,1.279585e+02
22,10,80,1.279585e+02
22,10,90,1.279585e+02
22,10,100,1.279585e+02
22,10,1,4.829332e+01
22,10,2,4.829315e+01
22,10,3,4.829315e+01
22,10,5,4.829315e+01
22,10,10,4.829315e+01
22,10,20,4.829315e+01
22,10,30,4.829315e+01
22,10,40,4.829315e+01
22,10,50,4.829315e+01
22,10,60,4.829315e+01
22,10,70,4.829315e+01
22,10,80,4.829315e+01
22,10,90,4.829315e+01
22,10,100,4.829315e+01
22,10,1,1.148854e+02
22,10,2,1.112172e+02
22,10,3,1.111992e+02
22,10,5,1.111989e+02
22,10,10,1.111989e+02
22,10,20,1.111989e+02
22,10,30,1.111989e+02
22,10,40,1.111989e+02
22,10,50,1.111989e+02
22,10,60,1.111989e+02
22,10,70,1.111989e+02
22,10,80,1.111989e+02
22,10,90,1.111989e+02
22,10,100,1.111989e+02
22,10,1,1.431539e+03
22,10,2,1.430622e+03
22,10,3,1.430622e+03
22,10,5,1.430622e+03
22,10,10,1.430622e+03
22,10,20,1.427249e+03
22,10,30,1.425613e+03
22,10,40,1.425079e+03
22,10,50,1.424853e+03
22,10,60,1.424462e+03
22,10,70,1.424256e+03
22,10,80,1.424112e+03
22,10,90,1.424077e+03
22,10,100,1.423797e+03
22,10,1,1.127776e+02
22,10,2,1.121781e+02
22,10,3,1.121662e+02
22,10,5,1.121660e+02
22,10,10,1.121660e+02
22,10,20,1.121660e+02
22,10,30,1.121660e+02
22,10,40,1.121660e+02
22,10,50,1.121660e+02
22,10,60,1.121660e+02
22,10,70,1.121660e+02
22,10,80,1.121660e+02
22,10,90,1.121660e+02
22,10,100,1.121660e+02
22,10,1,4.856236e+02
22,10,2,1.024824e+02
22,10,3,1.023124e+02
22,10,5,1.023109e+02
22,10,10,1.023109e+02
22,10,20,1.023109e+02
22,10,30,1.023109e+02
22,10,40,1.023109e+02
22,10,50,1.023109e+02
22,10,60,1.023109e+02
22,10,70,1.023109e+02
22,10,80,1.023109e+02
22,10,90,1.023109e+02
22,10,100,1.023109e+02
22,10,1,1.078778e+02
22,10,2,1.050768e+02
22,10,3,1.050553e+02
22,10,5,1.050551e+02
22,10,10,1.050551e+02
22,10,20,1.050551e+02
22,10,30,1.050551e+02
22,10,40,1.050551e+02
22,10,50,1.050551e+02
22,10,60,1.050551e+02
22,10,70,1.050551e+02
22,10,80,1.050551e+02
22,10,90,1.050551e+02
22,10,100,1.050551e+02
22,10,1,1.018782e+02
22,10,2,1.015136e+02
22,10,3,1.015090e+02
22,10,5,1.015089e+02
22,10,10,1.015089e+02
22,10,20,1.015089e+02
22,10,30,1.015089e+02
22,10,40,1.015089e+02
22,10,50,1.015089e+02
22,10,60,1.015089e+02
22,10,70,1.015089e+02
22,10,80,1.015089e+02
22,10,90,1.015089e+02
22,10,100,1.015089e+02
22,10,1,1.010500e+02
22,10,2,1.009011e+02
22,10,3,1.009000e+02
22,10,5,1.009000e+02
22,10,10,1.009000e+02
22,10,20,1.009000e+02
22,10,30,1.009000e+02
22,10,40,1.009000e+02
22,10,50,1.009000e+02
22,10,60,1.009000e+02
22,10,70,1.009000e+02
22,10,80,1.009000e+02
22,10,90,1.009000e+02
22,10,100,1.009000e+02
22,10,1,1.144874e+03
22,10,2,1.102262e+02
22,10,3,1.100695e+02
22,10,5,1.100680e+02
22,10,10,1.100680e+02
22,10,20,1.100680e+02
22,10,30,1.100680e+02
22,10,40,1.100680e+02
22,10,50,1.100680e+02
22,10,60,1.100680e+02
22,10,70,1.100680e+02
22,10,80,1.100680e+02
22,10,90,1.100680e+02
22,10,100,1.100680e+02
